	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1023	MH Q5	II_60_0038	Sandhausen, Sandhausen	8.65837, 49.34236	gukummer	g u k u mm e r	gurkummer	g u r k u mm e r	1
1024	MH z2	II_58_0069	Großsachsen, Grosssachsen	8.6595, 49.51193	gugummer	g u g u mm e r	gagummer	g a g u mm e r	1
1025	TUTT G6	III_36_0020	Tengen, Tengen	8.66036, 47.81721	gugumer	g u g u m e r	gugummer	g u g u mm e r	1
1026	MH A2	II_58_0071	Lützelsachsen, Lützelsachsen	8.66627, 49.52737	gagumma	g a g u mm a	gugumma	g u g u mm a	1
1027	KST P1	III_22_0027	Ispringen , Ispringen	8.66764, 48.91655	gugommer	g u g o mm e r	gugummer	g u g u mm e r	1
1028	TUTT A2	III_35_0025	Leipferdingen, Leipferdingen	8.66787, 47.86461	gugummere	g u g u mm e r e	gugumere	g u g u m e r e	1
1029	KST P2	III_23_0032, III_23_0031	Brötzingen, Pforzheim-Brötzingen	8.66799, 48.889	gugummer	g u g u mm e r	gugommer	g u g o mm e r	1
1030	MH A3	II_58_0070	Hohensachsen, Hohensachsen	8.66935, 49.51919	gagumma	g a g u mm a	gaguma	g a g u m a	1
1031	TUTT t2	III_34_0027	Ippingen, Ippingen	8.67098, 47.98355	gugummere	g u g u mm e r e	guggum̄ere	g u gg u m ̄ e r e	2
1032	KST m10	III_19_0027	Zeutern, Zeutern	8.67522, 49.17718	gugummer	g u g u mm e r	gugummere	g u g u mm e r e	1
1033	KST A6	III_21_0023	Diedelsheim, Diedelsheim	8.67848, 49.04109	gugumer	g u g u m e r	gugummer	g u g u mm e r	1
1034	KST A7	III_21_0024	Rinklingen , Rinklingen	8.6832, 49.03485	guguma	g u g u m a	gugummer	g u g u mm e r	3
1035	MH R3	II_60_0041	Heidelberg-Rohrbach, Heidelberg-Rohrbach	8.69, 49.38005	gugumer	g u g u m e r	gegummer	g e g u mm e r	2
1036	KST H1	III_22_0028	Nussbaum, Nussbaum	8.69353, 48.98977	gugumer	g u g u m e r	gugummer	g u g u mm e r	1
1037	KST m2	III_19_0023	Rettigheim, Rettigheim	8.6981, 49.24111	gugumer	g u g u m e r	gugumm	g u g u mm	2
1038	KST P3/4, KST P3/2	III_23_0046, III_23_0039, III_23_0051, III_23_0050, III_23_0037, III_23_0052, III_23_0040, III_23_0038, III_23_0042, III_23_0053, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	gugumr	g u g u m r	guggommer	g u gg o m m e r	4
1039	KST e9	III_18_0025	Rauenberg, Rauenberg	8.70096, 49.27036	guggumma	g u gg u m m a	gugummer	g u g u mm e r	3
1040	TUTT J2 /2	III_36_0036, III_36_0037, III_36_0038	Schlatt (am Randen), Schlatt	8.70119, 47.76891	gugumera	g u g u m e r a	gugummere	g u g u mm e r e	2
1041	TUTT H9	III_36_0035	Weil, Weil	8.7018, 47.81859	guggumere	g u gg u m e r e	guggummere	g u gg u m m e r e	1
1042	MH A4	II_58_0076	Rippenweier, Rippenweier	8.70861, 49.50646	gagumer	g a g u m e r	gagummer	g a g u mm e r	1
1043	KST e11	III_18_0026	Rotenberg, Rotenberg	8.71207, 49.25813	gugumer	g u g u m e r	gugumma	g u g u mm a	2
1044	TUTT H6	III_36_0033	Binningen, Binningen	8.72585, 47.79296	guggummere	g u gg u m m e r e	guggummer	g u gg u m m e r	1
1045	MH A5	II_58_0077	Oberflockenbach, Oberflockenbach	8.73109, 49.51102	gagumma ͤ	g a g u mm a  ͤ	gagummer	g a g u mm e r	3
1046	KST P8	III_23_0058	Würm, Würm	8.73641, 48.86041	gugummere	g u g u mm e r e	gegummer	g e g u mm e r	2
1047	KST e3	III_18_0027	Baiertal, Baiertal	8.73772, 49.30253	gugumer	g u g u m e r	gegummer	g e g u mm e r	2
1048	TÜB m1	III_26_0039	Wildberg Kreis Calw, Wildberg	8.73924, 48.62251	gugumer	g u g u m e r	gugommer	g u g o mm e r	2
1049	MH R6	II_60_0047	Ochsenbach, Ochsenbach	8.73932, 49.33778	gugummer	g u g u mm e r	gegummer	g e g u mm e r	1
1050	TUTT A4	III_35_0028	Zimmerholz, Zimmerholz	8.74175, 47.86811	guggumere	g u gg u m e r e	gugummere	g u g u mm e r e	2
1051	TUTT H5	III_36_0039	Riedheim, Riedheim	8.74873, 47.76389	guggummera	g u gg u m m e r a	guggumer	g u gg u m e r	2
1052	TUTT P5	III_37_0015	Gailingen, Gailingen	8.75499, 47.69685	gugummere	g u g u mm e r e	gukummere	g u k u mm e r e	1
1053	MH R7	II_60_0048	Gauangelloch, Gauangelloch	8.75579, 49.34078	gegummere	g e g u mm e r e	gugummer	g u g u mm e r	2
1054	KST e12	III_18_0029	Tairnbach, Tairnbach	8.75625, 49.26367	gugumma	g u g u mm a	gegummer	g e g u mm e r	3
1055	KST e4	III_18_0032	Schatthausen, Schatthausen	8.75841, 49.319	gugu̍ma	g u g u ̍ m a	gugumma	g u g u mm a	1
1056	TUTT t3	III_34_0029, III_34_0031, III_34_0030	Möhringen, Möhringen	8.75916, 47.96779	gugummere	g u g u mm e r e	guggommer	g u gg o m m e r	3
1057	TUTT A8	III_35_0029	Anselfingen, Anselfingen	8.76516, 47.84558	gugummere	g u g u mm e r e	gugum̄ere	g u g u m ̄ e r e	1
