	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
874	TUTT Ua1	III_38_0083	Lienheim, Lienheim	8.37469, 47.5721	gaiß	g a i ß	geiß	g ei ß	1
875	KST N3	III_23_0002	Oberweier, Oberweier	8.37866, 48.91717	gaiß	g a i ß	geiß	g ei ß	1
876	KST y 9, KST y 10	III_21_0001	Neureut, Neureut	8.37902, 49.05267	gaiß	g a i ß	gãs	g ã s	3
877	TUTT F14	III_36_0007	Brun dern, Brun dern	8.38083, 47.79495	gaiß	g a i ß	geiß	g ei ß	1
878	TUTT N9	III_37_0002	Deger u, Deger u	8.38187, 47.66635	gaiß	g a i ß	gais	g a i s	1
879	KST F2	III_22_0001	Bulach, Bulach	8.38244, 48.9868	gaiß	g a i ß	gais	g a i s	1
880	KST F12	III_22_0003	Ettlingenweier, Ettlingenweier	8.38589, 48.92887	geis	g ei s	geiß	g ei ß	1
881	TUTT r3	III_34_0006	Hubertshofen, Hubertshofen	8.38827, 47.96002	gås	g å s	goas	g o a s	2
882	TÜB c3	III_25_0005	Reichental, Reichental	8.39101, 48.72956	gaiß	g a i ß	gais	g a i s	1
883	TUTT U13	III_38_0010	Geißlingen, Geisslingen	8.39181, 47.61975	gaiß	g a i ß	geis	g ei s	2
884	KST r4	III_20_0006	Leopoldshafen, Leopoldshafen	8.3923, 49.09933	gaiß	g a i ß	geiß	g ei ß	1
885	KST y 11	III_20_0008, III_20_0007	Eggenstein, Eggenstein	8.39572, 49.08482	gaiß	g a i ß	geiß	g ei ß	1
886	KST N13	III_23_0006	Völkersbach, Völkersbach	8.39644, 48.8701	gaiß	g a i ß	geiß	g ei ß	1
887	TUTT y11	III_35_0009	Bachheim, Bachheim	8.4031, 47.85931	goas	g o a s	go͡as	g o ͡ a s	1
888	KST F3	III_21_0003	Karlsruhe-Rüppurr, Karlsruhe-Rüppurr	8.406, 48.97394	gais	g a i s	geiss	g ei ss	2
889	KST r3	III_20_0005	Linkenheim, Linkenheim	8.40844, 49.12418	gois	g o i s	geiß	g ei ß	2
890	KST k1	III_19_0003	Rheinsheim, Rheinsheim	8.40954, 49.23272	gās	g ā s	gaaß	g aa ß	3
891	TUTT U12	III_38_0011	Grießen, Griessen	8.4114, 47.62774	gaiß	g a i ß	geiß	g ei ß	1
892	KST r1	III_20_0002	Liedolsheim, Liedolsheim	8.41451, 49.16221	goas	g o a s	goaß	g o a ß	1
893	TUTT U11	III_38_0015	Bergöschingen, Bergöschingen	8.42093, 47.59537	gaiß	g a i ß	gaiss	g a i ss	2
894	TUTT F7	III_36_0016	Schwaningen, Schwaningen	8.42524, 47.77843	geiß	g ei ß	geis	g ei s	1
895	TUTT N2	III_37_0008	Eberfingen, Eberfingen	8.42708, 47.72036	gais	g a i s	geiß	g ei ß	2
896	TUTT c8	III_32_0009	Mönchweiler, Mönchweiler	8.42939, 48.09993	goaß	g o a ß	goas	g o a s	1
897	TUTT F12	III_36_0011	Lembach, Lembach	8.43056, 47.80389	gaiß	g a i ß	gais	g a i s	1
898	TUTT U10	III_38_0005	Stetten (bei Waldshut), Stetten	8.4393, 47.59011	gaiß	g a i ß	geiß	g ei ß	1
899	TUTT y5	III_35_0010	Ewattingen, Ewattingen	8.44464, 47.83863	gås	g å s	goass	g o a ss	3
900	TUTT U7	III_38_0014	Riedern am Sand (im SprachGIS: Unter Riedern), Riedern am Sand	8.4462, 47.6245	gaiß	g a i ß	geiß	g ei ß	1
901	TUTT N1	III_37_0009	Stühlingen, Stühlingen	8.44659, 47.74541	gaiß	g a i ß	geiß	g ei ß	1
902	Ma f1/2, Ma f1/1	II_58_0061	Mannheim-Sandhofen, Mannheim-Sandhofen, Mannheim-Sandhofen	8.44789, 49.5433	gas	g a s	gaas	g aa s	1
903	KST N11	III_23_0013	Schielberg, Schielberg	8.44945, 48.84311	gaiß	g a i ß	geiß	g ei ß	1
904	KST y 5	III_21_0004	Rintheim, Rintheim	8.45071, 49.0099	geiß	g ei ß	geis	g ei s	1
905	TUTT F11	III_36_0012	Lausheim, Lausheim	8.45286, 47.81178	gaiß	g a i ß	gais	g a i s	1
906	KST y 3	III_21_0007	Hagsfeld, Hagsfeld	8.45514, 49.02773	geis	g ei s	geiß	g ei ß	1
907	TUTT k6	III_33_0010	Überauchen, Überauchen	8.45524, 48.01134	gaiß	g a i ß	goaße	g o a ß e	3
908	TUTT U6	III_38_0013	Weisweil, Weisweil	8.45797, 47.64517	geiß	g ei ß	gais	g a i s	2
909	TUTT k1	III_33_0070, III_33_0071, III_33_0072, III_33_0069	Vilingen, Villingen	8.45901, 48.0567	goͦäß	g o ͦ ä ß	goas	g o a s	3
910	TÜB U2	III_31_0007, III_31_0005, III_31_0006	Weiler/Villingen, Tennenbronn	8.46043, 48.17227	gåas	g å a s	gaas	g aa s	1
911	TUTT F8	III_36_0149	Weizen, Weizen	8.46354, 47.77888	gaiß	g a i ß	geiß	g ei ß	1
912	TUTT U8	III_38_0012	Bühl, Bühl	8.4644, 47.61616	geiß	g ei ß	gaiß	g a i ß	1
