Koordinaten	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Longitude	Latitude	Levenshtein Item Min	z_score_item	Levenshtein Phontype Min	z_score_phontype	Levenshtein Lextype Min	z_score_lextype
7.22017, 47.59449	Co U 12	III_16_0020, III_16_0021	7.22017	47.59449	3	-9.354671686052335	0	-8.338330423653442	0	-6.7652694507715
7.22032, 47.53456	Co Ua 6	III_17_0013	7.22032	47.53456	21	0.16816524207600386	9	-3.5655230024231157	8	-2.5244315856875357
7.2205, 48.97095	Hag F 2	III_5_0042	7.2205	48.97095	20	-0.36088125393112624	8	-4.095834938115375	2	-5.705059984500509
7.22416, 48.06257	Co k 8	III_13_0013	7.22416	48.06257	16	-2.4770672379596457	8	-4.095834938115375	0	-6.7652694507715
7.22481, 47.70563	Co N11	III_15_0017	7.22481	47.70563	29	4.400537210133044	15	-0.3836513882695656	14	0.6561968131254379
7.22696, 47.72682	Co N15	III_15_0021	7.22696	47.72682	16	-2.4770672379596452	12	-1.9745871953463412	9	-1.99432685255204
7.22862, 47.88613	Co y 3	III_14_0022	7.22862	47.88613	11	-5.122299717995295	1	-7.808018487961184	0	-6.7652694507715
7.23096, 48.86516	Hag N 14	III_6_0029, III_6_0030	7.23096	48.86516	3	-9.354671686052335	0	-8.338330423653442	0	-6.7652694507715
7.2319, 47.74911	Co N2	III_15_0020	7.2319	47.74911	17	-1.948020741952516	4	-6.217082680884409	5	-4.114745785094022
7.23248, 47.9323	Co r 7/2	III_13_0106	7.23248	47.9323	10	-5.651346214002426	2	-7.277706552268925	0	-6.7652694507715
7.23354, 47.6401	Co U 5	III_16_0027	7.23354	47.6401	26	2.813397722111654	17	0.6769724831149515	14	0.6561968131254379
7.23437, 47.96595	Co r 8/1, Co r 8/2	III_13_0108	7.23437	47.96595	17	-1.948020741952516	11	-2.5048991310385995	11	-0.9341173862810488
7.23501, 47.9292	Co r 7/1	III_13_0105	7.23501	47.9292	17	-1.9480207419525155	9	-3.565523002423116	5	-4.114745785094022
7.2357, 48.82915	Hag U 4	na	7.2357	48.82915	0	0.0	0	0.0	0	0.0
7.23755, 48.07261	Co k 15	III_13_0012	7.23755	48.07261	34	7.045769690168694	24	4.389156032960761	14	0.6561968131254379
7.23978, 48.95501	Hag F 3	III_5_0044	7.23978	48.95501	11	-5.122299717995296	4	-6.217082680884408	0	-6.7652694507715
7.23995, 47.6597	Co U 1	na	7.23995	47.6597	0	0.0	0	0.0	0	0.0
7.24009, 47.62592	Co U 7/1, Co U 7/2	III_16_0029	7.24009	47.62592	19	-0.8899277499382559	0	-8.338330423653442	0	-6.7652694507715
7.24063, 47.81047	Co F3/1, Co F3/2	III_14_0102	7.24063	47.81047	17	-1.9480207419525162	13	-1.4442752596540824	12	-0.4040126531455529
7.24121, 47.48531	Co Ub 1	III_17_0063	7.24121	47.48531	36	8.103862682182955	27	5.980091840037536	18	2.77661574566742
7.24206, 47.57224	Co Ua 1	III_17_0005	7.24206	47.57224	41	10.749095162218604	29	7.040715711422053	31	9.66797727642886
7.24351, 48.85748	Hag N 15	III_6_0031	7.24351	48.85748	13	-4.064206725981036	2	-7.277706552268925	0	-6.7652694507715
7.24987, 48.90483	Hag N 5	III_6_0019	7.24987	48.90483	17	-1.9480207419525157	2	-7.277706552268925	0	-6.7652694507715
7.25159, 48.91879	Hag N 4	III_5_0048	7.25159	48.91879	20	0.4206766870741402	7	-4.0305518435466725	0	-6.282035918573536
7.25365, 47.90288	Co y 11	III_14_0029	7.25365	47.90288	15	-3.0061137339667763	3	-6.747394616576667	0	-6.7652694507715
7.25475, 48.89009	Hag N 6	III_6_0022	7.25475	48.89009	26	2.8133977221116537	17	0.6769724831149521	5	-4.114745785094022
7.25483, 47.58601	Co U 13	III_16_0034	7.25483	47.58601	30	4.929583706140174	11	-2.504899131038599	9	-1.9943268525520397
7.25504, 47.82648	Co F4	III_14_0103	7.25504	47.82648	11	-5.122299717995295	5	-5.68677074519215	0	-6.7652694507715
7.25681, 47.50213	Co Ub 2	III_17_0011	7.25681	47.50213	15	0.12011803005428862	9	-1.1831428813792753	0	-4.8323353219796426
7.25813, 48.80543	Hag U 5	III_7_0032	7.25813	48.80543	7	-7.238485702023816	0	-8.338330423653442	0	-6.7652694507715
7.25895, 48.43628	Stra z 2	III_10_0086	7.25895	48.43628	18	-1.4189742459453858	10	-3.0352110667308576	10	-1.4642221194165446
7.2595, 47.95742	Co r 3	III_13_0110	7.2595	47.95742	21	0.16816524207600403	9	-3.5655230024231153	6	-3.584641051958527
7.25961, 47.86006	Co y 8	III_14_0023, III_14_0024	7.25961	47.86006	21	0.16816524207600403	16	0.14666054742269297	9	-1.99432685255204
7.2617, 48.13853	Co c 1	III_12_0081	7.2617	48.13853	13	-4.064206725981036	1	-7.808018487961184	0	-6.7652694507715
7.26347, 47.46074	Co Ub 6	III_17_0068	7.26347	47.46074	34	7.82732763117396	19	2.333191384760429	19	3.78995401100088
7.26349, 48.3533	Stra G 3	III_11_0009, III_11_0010	7.26349	48.3533	8	-6.709439206016685	2	-7.277706552268925	0	-6.7652694507715
7.26432, 47.63975	Co U 4	III_16_0026	7.26432	47.63975	29	4.400537210133043	15	-0.38365138826956535	14	0.6561968131254378
7.26494, 47.67073	Co N8/1, Co N8/2	III_15_0015	7.26494	47.67073	19	0.6731881320722765	10	-1.8440210062089373	9	-1.0278597881561116
7.26699, 47.73596	Co N3	III_15_0016	7.26699	47.73596	34	7.045769690168694	16	0.14666054742269374	11	-0.9341173862810488
7.26801, 47.69023	Co N10	III_15_0025, III_15_0026	7.26801	47.69023	13	-4.064206725981036	0	-8.338330423653442	0	-6.7652694507715
7.26823, 48.83392	Hag U 3	III_6_0033	7.26823	48.83392	26	2.8133977221116533	11	-2.5048991310385995	8	-2.5244315856875352
7.26824, 47.56144	Co Ua 10	III_17_0006	7.26824	47.56144	23	1.2262582340902635	19	1.73759635449947	14	0.6561968131254379
7.26874, 48.86912	Hag N 7	III_6_0035	7.26874	48.86912	21	0.16816524207600403	9	-3.5655230024231153	5	-4.114745785094022
7.27085, 47.5062	Co Ua 13	III_17_0010	7.27085	47.5062	10	-5.651346214002426	3	-6.747394616576667	0	-6.7652694507715
7.27197, 47.86504	Co y 15	III_14_0025, III_14_0026	7.27197	47.86504	6	-7.7675321980309455	2	-7.277706552268925	0	-6.7652694507715
7.27596, 48.09972	Co c 6	III_12_0084	7.27596	48.09972	8	-5.927881265011419	1	-7.212423457700224	0	-6.282035918573536
7.27661, 48.00444	Co k 5	III_13_0024, III_13_0025	7.27661	48.00444	1	-10.412764678066596	0	-8.338330423653442	0	-6.7652694507715
7.27676, 47.58379	Co Ua 2	III_16_0036	7.27676	47.58379	26	2.8133977221116537	15	-0.38365138826956513	12	-0.40401265314555324
7.27817, 47.62015	Co U 8	III_16_0030	7.27817	47.62015	19	-0.889927749938256	7	-4.626146873807633	0	-6.7652694507715
7.27884, 48.0862	Co c 4	III_12_0085	7.27884	48.0862	12	-4.593253221988165	1	-7.808018487961184	0	-6.7652694507715
7.28007, 48.90754	Hag N 3	III_6_0020	7.28007	48.90754	27	3.342444218118784	13	-1.4442752596540818	5	-4.114745785094022
7.28067, 48.03226	Co k 7	III_13_0021	7.28067	48.03226	10	-4.869788272997159	6	-4.5608637792389315	5	-3.6315122528960577
7.28072, 47.70069	Co N5	III_15_0018	7.28072	47.70069	26	2.813397722111654	5	-5.68677074519215	0	-6.7652694507715
7.28092, 48.81935	Hag U 2	III_7_0034	7.28092	48.81935	26	2.813397722111654	14	-0.9139633239618237	9	-1.99432685255204
7.2816, 47.48759	Co Ub 4	III_17_0064	7.2816	47.48759	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.28169, 48.2709	Stra O 5, Stra U 2	III_11_0082	7.28169	48.2709	14	-3.535160229973906	4	-6.217082680884408	2	-5.705059984500509
7.28171, 47.7605	Co F6	III_14_0104	7.28171	47.7605	26	2.8133977221116537	16	0.14666054742269363	16	1.7164062793964288
7.28212, 47.88747	Co y 10	III_14_0030	7.28212	47.88747	13	-4.064206725981036	5	-5.68677074519215	0	-6.7652694507715
7.28224, 48.01954	Co k 13	III_13_0017	7.28224	48.01954	13	-4.064206725981036	3	-6.747394616576667	0	-6.7652694507715
7.28484, 48.12465	Co c 12	III_12_0082	7.28484	48.12465	25	2.284351226104524	8	-4.095834938115374	7	-3.054536318823031
7.28497, 48.10796	Co c 5	III_12_0083	7.28497	48.10796	29	4.400537210133043	16	0.14666054742269363	5	-4.114745785094022
7.28546, 48.33566	Stra G 7	III_11_0001	7.28546	48.33566	18	-1.4189742459453858	8	-4.095834938115375	7	-3.054536318823031
7.28623, 47.54132	Co Ua 7/1, Co Ua 7/2	na	7.28623	47.54132	0	0.0	0	0.0	0	0.0
7.28695, 48.13649	Co c 7	III_12_0080	7.28695	48.13649	22	0.6972117380831339	1	-7.808018487961184	0	-6.7652694507715
7.28747, 47.65547	Co U 2	III_16_0023, III_16_0024	7.28747	47.65547	32	5.987676698154434	18	1.2072844188072107	11	-0.934117386281049
7.28852, 48.90706	Hag N 2	III_6_0021	7.28852	48.90706	19	-0.8899277499382562	6	-5.156458809499891	0	-6.7652694507715
7.28942, 48.35047	Stra G 4	III_11_0008	7.28942	48.35047	34	7.82732763117396	22	3.9241271918372043	15	1.669535078458898
7.2903, 47.98827	Co r 10/1, Co r 10/2	III_13_0111	7.2903	47.98827	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.29205, 47.91022	Co y 12	III_14_0032	7.29205	47.91022	11	-5.122299717995296	4	-6.217082680884408	0	-6.7652694507715
7.2921, 48.36514	Stra G 2	III_11_0003, III_11_0004	7.2921	48.36514	6	-7.7675321980309455	4	-6.217082680884408	0	-6.7652694507715
7.29244, 47.62397	Co U 9	III_16_0031	7.29244	47.62397	4	-8.825625190045205	0	-8.338330423653442	0	-6.7652694507715
7.2942, 47.92837	Co r 5	III_13_0112	7.2942	47.92837	15	-3.006113733966776	4	-6.217082680884408	0	-6.7652694507715
7.29485, 47.69387	Co N6	III_15_0019	7.29485	47.69387	20	-0.36088125393112636	0	-8.338330423653442	0	-6.7652694507715
7.29591, 48.81267	Hag U 1	III_7_0033	7.29591	48.81267	17	-1.948020741952516	3	-6.747394616576667	0	-6.7652694507715
7.29696, 47.95968	Co r 1	III_13_0113	7.29696	47.95968	11	0.3486058690415671	8	0.07333027371134693	8	0.8582031396982143
7.29709, 48.51659	Stra s 3	III_10_0003	7.29709	48.51659	28	3.8714907141259136	12	-1.9745871953463403	5	-4.114745785094022
7.29975, 48.16568	Co c 2	na	7.29975	48.16568	0	0.0	0	0.0	0	0.0
7.30016, 48.0108	Co k 6	III_13_0023	7.30016	48.0108	22	0.697211738083134	14	-0.9139633239618234	5	-4.114745785094022
7.30037, 48.01773	Co k 12	III_13_0022	7.30037	48.01773	15	-3.006113733966776	7	-4.626146873807633	0	-6.7652694507715
7.30044, 47.50327	Co Ub 3/1, Co Ub 3/2, Co Ub 3/3	na	7.30044	47.50327	0	0.0	0	0.0	0	0.0
7.30068, 47.56354	Co Ua 4	III_17_0007	7.30068	47.56354	19	-0.8899277499382559	12	-1.97458719534634	4	-4.644850518229518
7.30153, 48.63467	Stra l 1, Stra l 3	III_9_0005, III_9_0007	7.30153	48.63467	8	-5.927881265011419	0	-7.742735393392482	0	-6.282035918573536
7.30181, 47.83432	Co y 7	III_14_0033	7.30181	47.83432	9	-6.1803927100095555	1	-7.808018487961184	0	-6.7652694507715
7.30201, 48.28406	Stra O 4	III_11_0086	7.30201	48.28406	18	-1.418974245945386	9	-3.5655230024231157	0	-6.7652694507715
7.30232, 47.62138	Co U 10	III_16_0032	7.30232	47.62138	9	-4.6172768279990235	5	-4.495580684670229	2	-4.738592920104581
7.30273, 48.34253	Stra G 6	III_11_0005, III_11_0007	7.30273	48.34253	13	-4.064206725981036	1	-7.808018487961184	0	-6.7652694507715
7.30295, 47.71749	Co N4	III_15_0022	7.30295	47.71749	18	-1.4189742459453858	1	-7.808018487961184	0	-6.7652694507715
7.3035, 48.13267	Co c 9	III_12_0079	7.3035	48.13267	18	-1.4189742459453858	4	-6.217082680884408	0	-6.7652694507715
7.30397, 48.22949	Stra V 2, Stra V 3	III_12_0003	7.30397	48.22949	7	-7.238485702023816	0	-8.338330423653442	0	-6.7652694507715
7.30418, 47.87789	Co y 9	III_14_0031	7.30418	47.87789	11	-5.122299717995296	2	-7.277706552268925	0	-6.7652694507715
7.30455, 48.04168	Co k 14	III_13_0020	7.30455	48.04168	11	-5.122299717995295	3	-6.747394616576667	0	-6.7652694507715
7.30629, 48.06133	Co k 4	III_13_0019	7.30629	48.06133	8	-5.927881265011419	6	-4.560863779238931	0	-6.282035918573536
7.30725, 48.0936	Co c 10	III_12_0086	7.30725	48.0936	28	3.871490714125914	18	1.2072844188072103	13	0.1260920799899421
7.30732, 48.6228	Stra l 2	III_9_0006	7.30732	48.6228	11	0.348605869041567	8	0.07333027371134648	5	-0.7321110597082721
7.3091, 47.47235	Co Ub 5	III_17_0066	7.3091	47.47235	16	-2.4770672379596457	5	-5.68677074519215	0	-6.7652694507715
7.30924, 47.69692	Co N7	III_15_0024	7.30924	47.69692	28	4.6530486551311805	12	-1.378992165085381	8	-2.0411980534895715
7.30991, 48.0865	Co l 4	III_12_0087	7.30991	48.0865	15	1.683233912064821	14	2.6596068576039373	7	-0.15513512563524523
7.31001, 47.64239	Co U 3	III_16_0025	7.31001	47.64239	0	-2.3446738230157984	0	-1.7867850907828804	0	-1.449700596593893
7.31338, 48.32872	Stra O 2	III_11_0084	7.31338	48.32872	15	-3.006113733966776	9	-3.565523002423116	5	-4.114745785094022
7.31461, 48.91322	Hag N 1	III_5_0049	7.31461	48.91322	6	-7.7675321980309455	1	-7.808018487961184	0	-6.7652694507715
7.31605, 47.55061	Co Ua 9	III_17_0029	7.31605	47.55061	17	2.74132690407908	9	0.008047179142645106	0	-3.865868257583714
