	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
514	TUTT a6	III_12_0145	Yach, Yach	8.0932, 48.15752	herdäpfel	h e r d ä p f e l	herdepfel	h e r d e p f e l	1
515	TUTT S21	III_16_0141	Schachen, Schachen	8.09406, 47.60368	härdöpfel	h ä r d ö p f e l	herdäpfel	h e r d ä p f e l	2
516	TUTT S5, TUTT Sa8	III_17_0060	Luttingen, Luttingen und Grunholz, Luttingen	8.09878, 47.57252	herdöpfel	h e r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
517	TUTT S17	III_16_0146	Albert, Albbruck-Albert	8.11012, 47.58535	erdäpfel	e r d ä p f e l	erdöpfel	e r d ö p f e l	1
518	TUTT w6	III_14_0074	Altglashütten, Altglashütten	8.11016, 47.85701	herdöpfel	h e r d ö p f e l	herdepfel	h e r d e p f e l	1
519	TUTT S15	III_16_0142	Buch über Waldshut, Buch	8.11336, 47.61399	erdäpfel	e r d ä p f e l	herdöpfel	h e r d ö p f e l	2
520	TÜB p8	III_10_0076	Lautenbach, Lautenbach	8.11439, 48.52093	ärdepfel	ä r d e p f e l	erdäpfel	e r d ä p f e l	2
521	TÜB h15	III_9_0101, III_9_0102	Kappelrodeck, Kappelrodeck	8.11791, 48.59087	herdepfel	h e r d e p f e l	erdäpfel	e r d ä p f e l	2
522	TÜB S5, TÜB S6	III_12_0063, III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Oberprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	erdäpfl	e r d ä p f l	hädäpfel	h ä d ä p f e l	3
523	TUTT L1	III_15_0112, III_15_0111	Urberg, Urberg	8.12409, 47.73478	härdöpfel	h ä r d ö p f e l	herdöpfel	h e r d ö p f e l	1
524	TUTT L16	III_15_0103	Schlageten, Schlageten	8.12512, 47.71178	erdäpfel	e r d ä p f e l	erdöpfel	e r d ö p f e l	1
525	TUTT L11	III_15_0102	Immeneich, Immeneich	8.12543, 47.69719	erdäpfel	e r d ä p f e l	erdöpfel	e r d ö p f e l	1
526	TUTT D4	III_14_0173, III_14_0171, III_14_0174, III_14_0172	St. Blasien, St. Blasien	8.12792, 47.76144	herdöpfl	h e r d ö p f l	herdöpfel	h e r d ö p f e l	1
527	TUTT S12	III_16_0135	Unteralpfen, Unteralpfen	8.13573, 47.64543	hǟrdöpfel	h ǟ r d ö p f e l	härdöpfel	h ä r d ö p f e l	1
528	TUTT h6	III_13_0076	Gütenbach, Gütenbach	8.13807, 48.04398	härdepfel	h ä r d e p f e l	härdepfěl	h ä r d e p f ě l	1
529	TÜB w3	III_10_0078	Ramsbach, Ramsbach	8.14144, 48.49573	erdäpfel	e r d ä p f e l	erdepfel	e r d e p f e l	1
530	TUTT L15	III_15_0108	Tiefenhäusern, Tiefenhäusern	8.14547, 47.70277	härdopfel	h ä r d o p f e l	herdöpfl	h e r d ö p f l	3
