	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
32	MH N9	II_92_0008	Rosenberg, Rosenberg	9.4752, 49.45583	ebirn	e b i r n	äbir	ä b i r	2
33	MH N6	II_92_0133	Bronnacker, Bronnacker	9.48305, 49.4446	äbirn	ä b i r n	ebire	e b i r e	2
34	STU u2	III_26_0084	Bissingen/Teck, Bissingen-Teck	9.49128, 48.60024	aibīra	a i b ī r a	aibiere	a i b ie r e	3
35	MH O3	II_92_0012	Berolzheim, Berolzheim	9.54042, 49.4749	äbirn	ä b i r n	ebiern	e b ie r n	2
36	MH W2	II_93_0011	Ballenberg, Ballenberg	9.55086, 49.40093	äbirn	ä b i r n	ebirn	e b i r n	1
37	MH W3	II_93_0012	Erlenbach, Erlenbach	9.5514, 49.38553	äbiern	ä b ie r n	äbirn	ä b i r n	1
38	MH O7	II_92_0014	Oberwittstadt, Oberwittstadt	9.55565, 49.43027	äbirn	ä b i r n	ebirn	e b i r n	1
39	MH O4	II_92_0013	Schillingstadt, Schillingstadt	9.57461, 49.46035	ebirn	e b i r n	erbiera	e r b ie r a	3
40	MH W4	II_93_0019	Oberndorf, Oberndorf	9.59181, 49.40817	ebirn	e b i r n	erbirn	e r b i r n	1
41	MH O8	II_91_0012	Uiffingen, Uiffingen	9.59227, 49.50171	erbira	e r b i r a	ebiern	e b ie r n	3
42	MH O9	II_92_0022	Angeltürn, Angeltürn	9.59726, 49.48572	äbirn	ä b i r n	äbiern	ä b ie r n	1
43	MH O5	II_92_0020, II_92_0021, II_92_0019	Schwabhausen, Schwabhausen	9.60196, 49.45569	ebirn	e b i r n	äbiern	ä b ie r n	2
44	MH W8	II_93_0018	Gommersdorf, Gommersdorf	9.61253, 49.36877	äbbīrn	ä bb ī r n	ebbirn	e bb i r n	2
45	MH F7	II_91_0013	Kupprichhausen-Lengenrieden, Kupprichhausen u. Lengenrieden	9.62002, 49.52627	érbirn	é r b i r n	ärbiirn	ä r b ii r n	2
46	MH O6	II_92_0016, II_92_0015, II_92_0018, II_92_0017	Windischbuch, Windischbuch	9.62194, 49.43593	erdbirn	e r d b i r n	ebirn	e b i r n	2
47	MH F6	II_91_0014	Epplingen, Epplingen	9.62742, 49.5054	ebbiere	e bb ie r e	ebiern	e b ie r n	2
48	MH O10	II_92_0023, II_92_0025, II_92_0024	Wölchingen, Wölchingen	9.63011, 49.48494	ebbiern	e bb ie r n	ebirn	e b i r n	2
49	MH W7	II_93_0022	Krautheim, Krautheim	9.63369, 49.39159	ĕbiern	ĕ b ie r n	ebiern	e b ie r n	1
50	MH O11	II_92_0026	Boxberg, Boxberg	9.64298, 49.48181	erbirn	e r b i r n	ebirn	e b i r n	1
51	MH P2	II_92_0040	Schweigern, Schweigern	9.66576, 49.49224	äbirn	ä b i r n	äbiern	ä b ie r n	1
52	MH P3	II_92_0028	Bobstadt, Bobstadt	9.67398, 49.46607	ebirn	e b i r n	erbirn	e r b i r n	1
53	MH G11	II_91_0019	Oberschüpf, Oberschüpf	9.67687, 49.52252	äbīre	ä b ī r e	ebire	e b i r e	2
54	MH P4	II_92_0030, II_92_0031, II_92_0029, II_92_0032	Assamstadt, Assamstadt	9.68738, 49.42689	erbirn	e r b i r n	erdbier	e r d b ie r	3
55	MH G13	II_91_0021	Sachsenflur, Sachsenflur	9.71, 49.52377	äbbiere	ä bb ie r e	äbiere	ä b ie r e	1
