	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
100	Co k 15	III_13_0012	Zimmerbach, Zimmerbach	7.23755, 48.07261	hewamm	h e w a mm	hebamm	h e b a mm	1
101	Hag F 3	III_5_0044	Ratzweiler (Ratzwiller), Ratzweiler	7.23978, 48.95501	hewåmm	h e w å mm	hewāmm	h e w ā mm	1
102	Co U 7/1, Co U 7/2	III_16_0029	Altkirch, Altkirch	7.24009, 47.62592	hebåmm	h e b å mm	hebǎmm	h e b ǎ mm	1
103	Co F3/2, Co F3/1	III_14_0102	Wittelsheim, Wittelsheim	7.24063, 47.81047	hewamm	h e w a mm	hewamme	h e w a mm e	1
104	Co Ub 1	III_17_0063	Dürlinsdorf (Durlinsdorf), Dürlinsdorf	7.24121, 47.48531	hebåmm	h e b å mm	hebamme	h e b a mm e	2
105	Hag N 15	III_6_0031	Lohr, Lohr	7.24351, 48.85748	hewång	h e w å n g	hewamm	h e w a mm	3
106	Hag N 4	III_5_0048	Weislingen, Weislingen	7.25159, 48.91879	hewåm	h e w å m	hewang	h e w a n g	3
107	Co y 11	III_14_0029	Isenheim (Issenheim), Isenheim	7.25365, 47.90288	hewamme	h e w a mm e	hebå̄mm	h e b å ̄ mm	4
108	Hag N 6	III_6_0022	Strut (Struth), Strut	7.25475, 48.89009	hebamm	h e b a mm	hewang	h e w a n g	3
109	Co U 13	III_16_0034	Hisingen (Hirsingue), Hirsingen	7.25483, 47.58601	hebamma	h e b a mm a	hebam	h e b a m	2
110	Co F4	III_14_0103	Staffelfelden, Staffelfelden	7.25504, 47.82648	hewåma	h e w å m a	hewâmm	h e w â mm	2
111	Hag U 5	III_7_0032	Pfalzweier (-weyer), Pfalzweier	7.25813, 48.80543	hewång	h e w å n g	hewang	h e w a n g	1
112	Stra z 2	III_10_0086	Natzweiler, Natzweiler	7.25895, 48.43628	hebamm	h e b a mm	hewamm	h e w a mm	1
113	Co c 1	III_12_0081	Kaysersberg, Kaysersberg	7.2617, 48.13853	häwåmm	h ä w å mm	häwamm	h ä w a mm	1
114	Stra G 3	III_11_0010, III_11_0009	Meisengott (Maisonsgoutte), Meisengott	7.26349, 48.3533	hewamm	h e w a mm	häwåmm	h ä w å mm	2
115	Co N10	III_15_0026, III_15_0025	Frönigen, Fröningen	7.26801, 47.69023	hebammeͣ	h e b a mm e ͣ	hebamme	h e b a mm e	1
116	Hag U 3	III_6_0033	Schönburg (Schoenbourg), Schönburg	7.26823, 48.83392	hewåmm	h e w å mm	hebamm	h e b a mm	2
117	Co Ua 10	III_17_0006	Rüderbach (Ruederbach), Rüderbach	7.26824, 47.56144	hebomme	h e b o mm e	hebamm	h e b a mm	2
118	Hag N 7	III_6_0035	Petersbach, Petersbach	7.26874, 48.86912	hewȃmm	h e w ȃ mm	hewamm	h e w a mm	1
119	Co Ua 13	III_17_0010	Köstlach (Kœstlach), Köstlach	7.27085, 47.5062	hebåmm	h e b å mm	hebamm	h e b a mm	1
120	Co c 6	III_12_0084	Niedermorschweiher, Niedermorschweiher	7.27596, 48.09972	häwang	h ä w a n g	hewang	h e w a n g	1
121	Co Ua 2	III_16_0036	Bettendorf, Bettendorf	7.27676, 47.58379	hebamme	h e b a mm e	hebamm	h e b a mm	1
122	Co U 8	III_16_0030	Wittersdorf, Wittersdorf	7.27817, 47.62015	hebamm	h e b a mm	hewamme	h e w a mm e	2
123	Co c 4	III_12_0085	Türkheim (Turckheim), Türkheim	7.27884, 48.0862	hebamm	h e b a mm	hewāmm	h e w ā mm	2
124	Hag N 3	III_6_0020	Frohmühl (Frohmuhl), Frohmühl	7.28007, 48.90754	hēwamm	h ē w a mm	hewang	h e w a n g	3
125	Co k 7	III_13_0021	Häusern, Häusern	7.28067, 48.03226	hewamm	h e w a mm	häbamm	h ä b a mm	2
126	Co N5	III_15_0018	Hochstatt, Hochstatt	7.28072, 47.70069	häwåmmä	h ä w å mm ä	hebam̄	h e b a m ̄	5
127	Hag U 2	III_7_0034	Graufthal, Grauftal	7.28092, 48.81935	hewång	h e w å n g	hewomm	h e w o mm	3
128	Stra O 5, Stra U 2	III_11_0082	klein Leberau (Lièpvre), Leberau (Lièpvre), Leberau	7.28169, 48.2709	hewāmm	h e w ā mm	hewamme	h e w a mm e	2
129	Co F6	III_14_0104	Lutterbach, Lutterbach	7.28171, 47.7605	hewãmme	h e w ã mm e	hewamm	h e w a mm	2
130	Co y 10	III_14_0030	Rädersheim (Raedersheim), Rädersheim	7.28212, 47.88747	hebåmma	h e b å mm a	hebamme	h e b a mm e	2
131	Co k 13	III_13_0017	Vöklinshofen (Voegtlinshoffen), Vöklinshofen	7.28224, 48.01954	hewåmm	h e w å mm	hewâmm	h e w â mm	1
132	Co c 12	III_12_0082	Ammerschweier, Ammerschweier	7.28484, 48.12465	hebåmm	h e b å mm	hewamm	h e w a mm	2
