	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
200	Hag N 3	III_6_0020	Frohmühl, Frohmühl (Frohmuhl)	7.28007, 48.90754	7.28007	48.90754	elschter	atzel	0	-0.7815579410052661	elschter	atsel	0	-0.5955950302609602	Elster	Atzel	0	-0.48323353219796433
201	na	III_13_0021	Häusern	7.28067, 48.03226	7.28067	48.03226	na	elster	999	527.7358915701176	na	elschter	999	529.1860287263053	na	Elster	999	529.091394870162
202	Co N5	III_15_0018	Hochstatt, Hochstatt	7.28072, 47.70069	7.28072	47.70069	agäschtä	agerschte	3	0.8055815470161238	ageschte	agerschte	1	-0.06528309456870167	Agerst	Agerst	0	-0.48323353219796433
203	Hag U 2	III_7_0034	Graufthal, Grauftal	7.28092, 48.81935	7.28092	48.81935	ätzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
204	Co Ub 4	III_17_0064	Bendorf, Bendorf	7.2816, 47.48759	7.2816	47.48759	agersta	agerscht	3	0.8055815470161238	agerschte	agerscht	1	-0.06528309456870167	Agerst	Agerst	0	-0.48323353219796433
205	Stra O 5	III_11_0082	Leberau, Leberau (Lièpvre), Leberau	7.28169, 48.2709	7.28169	48.2709	agerschta	agerste, kasatzel	3	0.8055815470161238	agerschte	kasatsel, agerschte	999	529.1860287263053	Agerst	Agerst, Kasatzel	999	529.091394870162
206	Co F6	III_14_0104	Lutterbach, Lutterbach	7.28171, 47.7605	7.28171	47.7605	agerschta	agerschta	0	-0.7815579410052661	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
207	Co y 10	III_14_0030	Rädersheim (Raedersheim), Rädersheim, Rädersheim	7.28212, 47.88747	7.28212	47.88747	agersta	agerste, elster	1	-0.25251144499813616	agerschte	elschter, agerschte	999	529.1860287263053	Agerst	Elster, Agerst	999	529.091394870162
208	Co k 13	III_13_0017	Vöklinshofen (Voegtlinshoffen), Vöklinshofen	7.28224, 48.01954	7.28224	48.01954	āgerscht	agerscht	1	-0.25251144499813616	agerscht	agerscht	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
209	Co c 12	III_12_0082	Ammerschweier, Ammerschweier	7.28484, 48.12465	7.28484	48.12465	elschter	elstr	3	0.8055815470161238	elschter	elschter	0	-0.5955950302609602	Elster	Elster	0	-0.48323353219796433
210	Co c 5	III_12_0083	Katzenthal, Katzental	7.28497, 48.10796	7.28497	48.10796	atzel	aderscht	0	-0.7815579410052661	atsel	aderscht	0	-0.5955950302609602	Atzel	Agerst	0	-0.48323353219796433
211	Stra G 7	III_11_0001	Bassenberg (Bassemberg), Bassenberg	7.28546, 48.33566	7.28546	48.33566	elschdr	elschdr	0	-0.7815579410052661	elschter	elschter	0	-0.5955950302609602	Elster	Elster	0	-0.48323353219796433
212	Co Ua 7/1, Co Ua 7/2	na	Riespach	7.28623, 47.54132	7.28623	47.54132	agerschta, agerschde	na	999	527.7358915701176	agerschte	na	999	529.1860287263053	Agerst	na	999	529.091394870162
213	Co c 7	III_12_0080	Kientzheim, Kientzheim	7.28695, 48.13649	7.28695	48.13649	åtzel	åtzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
214	Co U 2	III_16_0024, III_16_0023	Lümschweiler (Luemschwiller) und Tagolsheim, Lümschweiler, Tagolsheim	7.28747, 47.65547	7.28747	47.65547	āgerschda	ageste, eͣ̈gerste	6	2.3927210350375137	agerschte	ageschte, egerschte	1	-0.06528309456870167	Agerst	Agerst	0	-0.48323353219796433
215	Hag N 2	III_6_0021	Hinsburg (Hinsbourg), Hinsburg	7.28852, 48.90706	7.28852	48.90706	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
216	na	III_11_0008	St. Martin	7.28942, 48.35047	7.28942	48.35047	na	elschter	999	527.7358915701176	na	elschter	999	529.1860287263053	na	Elster	999	529.091394870162
217	Co r 10/1, Co r 10/2	III_13_0111	Pfaffenheim, Pfaffenheim	7.2903, 47.98827	7.2903	47.98827	agrscht, agerscht	agescht	1	-0.25251144499813616	agerscht	agerscht	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
218	Co y 12	III_14_0032	Merxheim, Merxheim	7.29205, 47.91022	7.29205	47.91022	agerscht	age̊rscht	1	-0.25251144499813616	agerscht	agerscht	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
219	Stra G 2	III_11_0004, III_11_0004, III_11_0003	Breitenbach, Breitenbach, Breitenbach	7.2921, 48.36514	7.2921	48.36514	kasatzel	elschter, kasatzel	999	527.7358915701176	kasatsel	elschter, kasatsel	999	529.1860287263053	Kasatzel	Elster, Kasatzel	999	529.091394870162
220	Co U 9	III_16_0031	Emlingen, Emlingen	7.29244, 47.62397	7.29244	47.62397	agerschda	agerschda	0	-0.7815579410052661	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
221	Co r 5	III_13_0112	Gundolsheim, Gundolsheim	7.2942, 47.92837	7.2942	47.92837	ågerscht	ägerscht	1	-0.25251144499813616	agerscht	ägerscht	1	-0.06528309456870167	Agerst	Agerst	0	-0.48323353219796433
