	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
2134	SIG n3	III_36_0076	Hohenbodmann, Hohenbodmann	9.21042, 47.82312	9.21042	47.82312	fliege	flieg	1	-0.25251144499813616	fliege	flieg	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2135	MH M5	II_59_0117	Limbach, Limbach	9.21181, 49.46142	9.21181	49.46142	mugge, mick	muck, mucke	1	-0.25251144499813616	muke, mik	muk, muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2136	MH M2	II_59_0119	Laudenberg, Laudenberg	9.21457, 49.48066	9.21457	49.48066	mück	muck	1	-0.25251144499813616	mük	muk	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2137	SIG q7	III_36_0074	Deisendorf, Deisendorf	9.21621, 47.76835	9.21621	47.76835	fliëg	fliege	2	0.27653505100899384	fliäg	fliege	2	0.4650288411235568	Fliege	Fliege	0	-0.48323353219796433
2138	MH U11	II_60_0088	Sulzbach, Sulzbach	9.22127, 49.35156	9.22127	49.35156	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2139	MH U9	II_60_0094	Auerbach, Auerbach	9.22666, 49.39927	9.22666	49.39927	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2140	SIG q2	III_37_0042	Unteruhldingen, Unteruhldingen	9.2334, 47.72271	9.2334	47.72271	fliāg	fliăga	2	0.27653505100899384	fliäg	fliäge	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2141	MH M4	II_59_0116	Scheringen, Scheringen	9.23513, 49.46663	9.23513	49.46663	mugge	muck	3	0.8055815470161238	muke	muk	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2142	MH M9	II_59_0114	Rittersbach, Rittersbach	9.23597, 49.42445	9.23597	49.42445	muckĕ	mucke	1	-0.25251144499813616	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2143	SIG n8	III_36_0077	Lippertsreute, Lippertsreute	9.23743, 47.80427	9.23743	47.80427	flīg	fliege	3	0.8055815470161238	flig	fliege	2	0.4650288411235568	Fliege	Fliege	0	-0.48323353219796433
2144	MH Y1	III_18_0073	Allfeld, Allfeld	9.24133, 49.32379	9.24133	49.32379	mucke	mugge	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2145	MH M1	II_59_0120	Einbach, Waldhausen/Einbach	9.24238, 49.48477	9.24238	49.48477	muck	muck	0	-0.7815579410052661	muk	muk	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2146	na	III_35_0065	Aftholderberg	9.2431, 47.8983	9.2431	47.8983	na	fleige	999	527.7358915701176	na	fleige	999	529.1860287263053	na	Fliege	999	529.091394870162
2147	SIG k2	na	Aftholderberg	9.2431, 47.89832	9.2431	47.89832	fleige	na	999	527.7358915701176	fleige	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2148	MH D8	II_58_0111	Steinbach, Steinbach	9.24327, 49.54854	9.24327	49.54854	muck	mugg	2	0.27653505100899384	muk	muk	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2149	SIG q3	III_37_0041	Oberuhldingen, Oberuhldingen	9.24549, 47.73557	9.24549	47.73557	fliĕg	fliege, flige	2	0.27653505100899384	fliäg	fliege, flige	2	0.4650288411235568	Fliege	Fliege	0	-0.48323353219796433
2150	MH M10	II_59_0115	Heidersbach, Heidersbach	9.2468, 49.45517	9.2468	49.45517	muck	muck	0	-0.7815579410052661	muk	muk	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2151	SIG n4	na	Altheim	9.25398, 47.82461	9.25398	47.82461	fliåg	na	999	527.7358915701176	flieg	na	999	529.1860287263053	Fliege	na	999	529.091394870162
