	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
238	Co N4	III_15_0022	Didenheim, Didenheim	7.30295, 47.71749	7.30295	47.71749	scharmüs	scharmüs	0	-0.7815579410052661	scharmüs	scharmüs	0	-0.5955950302609602	Schärmaus	Schärmaus	0	-0.48323353219796433
239	Co c 9	III_12_0079	Sigolsheim, Sigolsheim	7.3035, 48.13267	7.3035	48.13267	scharnialer	scharrnierler	3	0.8055815470161238	scharnieler	scharnieler	0	-0.5955950302609602	Schärnuler	Schärnuler	0	-0.48323353219796433
240	Stra V 2, Stra V 3	III_12_0003	Glashütte, Tannenkirch (Thannenkirch), Tannenkirch	7.30397, 48.22949	7.30397	48.22949	schalnjëler, chalniēr	schalniëler	1	-0.25251144499813616	chalnier, schalnieler	schalnieler	0	-0.5955950302609602	Schärnuler	Schärnuler	0	-0.48323353219796433
241	Co y 9	III_14_0031	Ungersheim, Ungersheim, Ungersheim	7.30418, 47.87789	7.30418	47.87789	scharrniahler	scharnialer, scharmüs	2	0.27653505100899384	scharnieler	scharmüs, scharnieler	999	529.1860287263053	Schärnuler	Schärnuler, Schärmaus	999	529.091394870162
242	Co k 14	III_13_0020	Egisheim, Egisheim	7.30455, 48.04168	7.30455	48.04168	scharrnialer	scharrnialer	0	-0.7815579410052661	scharnieler	scharnieler	0	-0.5955950302609602	Schärnuler	Schärnuler	0	-0.48323353219796433
243	Co k 4	III_13_0019	Wettolsheim, Wettolsheim	7.30629, 48.06133	7.30629	48.06133	scharnierla	scharrnierla	1	-0.25251144499813616	scharnieler	scharnieler	0	-0.5955950302609602	Schärnuler	Schärnuler	0	-0.48323353219796433
244	Co c 10	III_12_0086	Ingersheim	7.30725, 48.0936	7.30725	48.0936	schārnialer	mülwalfer	0	-0.7815579410052661	scharnieler	mülwalfer	0	-0.5955950302609602	Schärnuler	Maulwerfer	0	-0.48323353219796433
245	Stra l 2	na	Wangenburg	7.30732, 48.6228	7.30732	48.6228	müllwerfer	na	999	527.7358915701176	mülwerfer	na	999	529.1860287263053	Maulwerfer	na	999	529.091394870162
246	Co Ub 5	III_17_0066	Lüxdorf (Ligsdorf), Lüxdorf	7.3091, 47.47235	7.3091	47.47235	scharmüs	scharmüs	0	-0.7815579410052661	scharmüs	scharmüs	0	-0.5955950302609602	Schärmaus	Schärmaus	0	-0.48323353219796433
247	Co N7	III_15_0024	Flachslanden (Flaxlanden), Flachslanden	7.30924, 47.69692	7.30924	47.69692	scharmüs	scharmüs	0	-0.7815579410052661	scharmüs	scharmüs	0	-0.5955950302609602	Schärmaus	Schärmaus	0	-0.48323353219796433
248	Co l 4	III_12_0087	Logelbach	7.30991, 48.0865	7.30991	48.0865	scharnerl	scharnierel	0	-0.7815579410052661	scharnerl	scharnieler	0	-0.5955950302609602	Schärnul	Schärnuler	0	-0.48323353219796433
