	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
62	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	7.09999	47.79305	budda	budda	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
63	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	7.10087	48.02382	bůtt	bŭ̊tt	2	0.27653505100899384	butt	butt	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
64	Co i 9	III_13_0004, III_13_0003	Stossweier, Stossweier	7.10163, 48.05432	7.10163	48.05432	bōtt	bōda, bōtt	0	-0.7815579410052661	bott	botte, bott	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
65	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	7.10254	48.06373	boͧdă	butta	4	1.3346280430232536	botte	butte	1	-0.06528309456870167	Butte	Butte	0	-0.48323353219796433
66	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	7.10326	47.87359	buddä	butte	3	0.8055815470161238	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
67	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	7.10335	47.81019	butte	butta	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
68	Co T11	III_16_0019	Mansbach (Manspach), Mansbach	7.10508, 47.6176	7.10508	47.6176	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
69	Hag T 3	III_7_0008	Rauweiler	7.10907, 48.81139	7.10907	48.81139	butte	arschkrätzler	0	-0.7815579410052661	butte	arschkrätzler	0	-0.5955950302609602	Butte	Arschkrätzerle	0	-0.48323353219796433
70	Hag M 3	III_6_0004	Burbach, Burbach	7.11226, 48.90144	7.11226	48.90144	arschkratzer	arschkratzer	0	-0.7815579410052661	arschkrätzer	arschkratzer	1	-0.06528309456870167	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
71	Co M9	III_15_0009	Diefmatten Kreis Altkirch, Diefmatten	7.11319, 47.70828	7.11319	47.70828	buta	butta	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
72	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	7.1132	47.63625	butta	budda	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
73	Hag T 1	III_6_0011	Hirschland	7.11324, 48.83701	7.11324	48.83701	butte	arschgrätzer	0	-0.7815579410052661	butte	arschkrätzer	0	-0.5955950302609602	Butte	Arschkrätzer	0	-0.48323353219796433
74	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	7.11466	47.60658	hågebuddă	hågabutta	4	1.3346280430232536	hagebutte	hagebutte	0	-0.5955950302609602	Hagebutte	Hagebutte	0	-0.48323353219796433
75	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	7.11652	48.8596	årschkrätzere	arschkrätzere	1	-0.25251144499813616	arschkrätzere	arschkrätzere	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
76	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	7.11745	48.03105	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
77	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	7.11911	47.59537	butta	hågabudda	0	-0.7815579410052661	butte	hagebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
78	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	7.1214	47.63024	haagebudda	hagabutta	4	1.3346280430232536	hagebutte	hagebutte	0	-0.5955950302609602	Hagebutte	Hagebutte	0	-0.48323353219796433
79	Co E8	III_14_0095	Alttann, Alttann (Vieux-Thann)	7.12206, 47.80704	7.12206	47.80704	butä	hågabutta	0	-0.7815579410052661	butte	hagebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
80	Co q 8	III_13_0102	Sengern, Sengern	7.12209, 47.94246	7.12209	47.94246	budda	butt	3	0.8055815470161238	butte	butt	1	-0.06528309456870167	Butte	Butte	0	-0.48323353219796433
81	Hag E 4	III_5_0032	Rimsdorf, Rimsdorf	7.12568, 48.92923	7.12568	48.92923	arschkretzer	årschkrezer	2	0.27653505100899384	arschkrätzer	arschkrätzer	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
82	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	7.12607	48.05444	butte	budde	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
83	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	7.12881	49.00062	arschkrätzerle	arschkrätzerle	0	-0.7815579410052661	arschkrätzerle	arschkrätzerle	0	-0.5955950302609602	Arschkrätzerle	Arschkrätzerle	0	-0.48323353219796433
84	Co q 1	III_13_0098	Lintal (Linthal, Kreis Tann), Lintal	7.12943, 47.94619	7.12943	47.94619	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
85	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	7.13172	48.8709	pudd, ārschkrätzer	pudde, arschkrâtzer	3	0.8055815470161238	arschkrätzer, butt	butte, arschkratzer	2	0.4650288411235568	Arschkrätzer, Butte	Arschkrätzer, Butte	0	-0.48323353219796433
86	Co i 1/2, Co i 1/1	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	7.13185	48.0418	bud, butta	but	1	-0.25251144499813616	butt, butte	butt	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
87	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	7.13318	47.64299	budda	budda	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
88	Co E10	III_14_0098	Oberaspach, Oberasbach (Aspach-Le-Haute)	7.13352, 47.77692	7.13352	47.77692	būtta	hagabutta	0	-0.7815579410052661	butte	hagebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
89	Co M8	III_15_0011, III_15_0010	Gildweiler, Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler	7.13461, 47.6894	7.13461	47.6894	budda	hagebutte, budda	999	527.7358915701176	butte	hagebutte, butte	999	529.1860287263053	Butte	Hagebutte, Butte	999	529.091394870162
90	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	7.13528	48.06037	bodd	botà	2	0.27653505100899384	bott	botte	1	-0.06528309456870167	Butte	Butte	0	-0.48323353219796433
91	Co Vc 2	III_16_0011	Hindlingen	7.13734, 47.57341	7.13734	47.57341	būtta	buttla	0	-0.7815579410052661	butte	buttla	0	-0.5955950302609602	Butte	Buttle	0	-0.48323353219796433
92	na	III_5_0030	Völlerdingen	7.14098, 48.9622	7.14098	48.9622	na	arschgräzerle	999	527.7358915701176	na	arschkrätzerle	999	529.1860287263053	na	Arschkrätzerle	999	529.091394870162
93	Hag M 4	na	Tal bei Drulingen (Thal-Drulingen)	7.1452, 48.90983	7.1452	48.90983	pudde	na	999	527.7358915701176	butte	na	999	529.1860287263053	Butte	na	999	529.091394870162
94	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	7.14594	48.02896	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
95	Co T14	III_16_0006	Füllern (Fulleren), Füllern	7.14596, 47.59468	7.14596	47.59468	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
96	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	7.14925	47.94057	budde	būdde	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
97	Co T3	III_16_0008	Bütweiler, Büttweiler (Buethwiller)	7.14982, 47.65627	7.14982	47.65627	hågabutta	butte	0	-0.7815579410052661	hagebutte	butte	0	-0.5955950302609602	Hagebutte	Butte	0	-0.48323353219796433
98	Co M4	III_15_0014	Oberburnhaupt (Burnhaupt-Le-Haut), Oberburnhaupt	7.14988, 47.72886	7.14988	47.72886	buttā	buttā	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
99	Co Vc 1	III_17_0002	Friesen	7.15001, 47.56535	7.15001	47.56535	butte	buttla	0	-0.7815579410052661	butte	buttla	0	-0.5955950302609602	Butte	Buttle	0	-0.48323353219796433
100	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	7.15065	47.7618	butta	buda	2	0.27653505100899384	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
101	Hag E 3	III_5_0031	Domfessel, Domfessel	7.15171, 48.95143	7.15171	48.95143	arschgrätzer	aaschgrätzer	1	-0.25251144499813616	arschkrätzer	arschkrätzer	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
102	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	7.1532	48.89487	putt	put	1	-0.25251144499813616	butt	butt	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
103	Co E12	III_14_0096	Steinbach, Steinbach	7.15487, 47.82041	7.15487	47.82041	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
104	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	7.15658	47.90483	budda	butte	3	0.8055815470161238	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
105	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	7.15712	47.65028	butta	buta	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
106	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	7.15771	48.88171	budde	bŭtte	3	0.8055815470161238	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
107	Co q 2	III_13_0100	Lautenbach (Kreis Tann), Lautenbach	7.15877, 47.9414	7.15877	47.9414	butta	butta	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
108	Co q 3	III_13_0011	Wasserburg Kreis Colmar (Wasserbourg), Wasserburg	7.15948, 48.00283	7.15948	48.00283	butta	butten	2	0.27653505100899384	butte	butten	1	-0.06528309456870167	Butte	Butte	0	-0.48323353219796433
109	Hag M 9	III_6_0010	Weyer, Weyer	7.15976, 48.85488	7.15976	48.85488	årschgrätzere	arschgretzere	2	0.27653505100899384	arschkrätzere	arschkrätzere	0	-0.5955950302609602	Arschkrätzer	Arschkrätzer	0	-0.48323353219796433
110	Co M5	III_15_0013	Niederburnhaupt, Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	7.16039	47.71674	butte	hagabudda, budda	3	0.8055815470161238	butte	hagebutte, butte	999	529.1860287263053	Butte	Hagebutte, Butte	999	529.091394870162
111	Co q 6	III_13_0101	Murbach	7.1604, 47.92318	7.1604	47.92318	butte	hagebutte	0	-0.7815579410052661	butte	hagebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
112	Co T15	III_16_0010	Ballersdorf	7.1624, 47.625	7.1624	47.625	butta	haagabutta	0	-0.7815579410052661	butte	hagebutte	0	-0.5955950302609602	Butte	Hagebutte	0	-0.48323353219796433
113	Co Ua 11	III_17_0031	Pfetterhausen (Pfetterhouse), Pfetterhausen	7.16635, 47.50105	7.16635	47.50105	butta	butte	1	-0.25251144499813616	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
114	Co N1	III_14_0100	Schweighausem (Schweighouse-Thann), Schweighausen	7.16714, 47.75272	7.16714	47.75272	butte	butte	0	-0.7815579410052661	butte	butte	0	-0.5955950302609602	Butte	Butte	0	-0.48323353219796433
