	Fragebogen Nr.	Longitude	Latitude	Erhebung	org ameise	item ameise	phontype ameise	lextype ameise	org begräbnis	item begräbnis	phontype begräbnis	lextype begräbnis	org deichsel	item deichsel	phontype deichsel	lextype deichsel	org elster	item elster	phontype elster	lextype elster	org fledermaus	item fledermaus	phontype fledermaus	lextype fledermaus	org gurke	item gurke	phontype gurke	lextype gurke	org hagebutte	item hagebutte	phontype hagebutte	lextype hagebutte	org hebamme	item hebamme	phontype hebamme	lextype hebamme	org kartoffel	item kartoffel	phontype kartoffel	lextype kartoffel	org maulwurf	item maulwurf	phontype maulwurf	lextype maulwurf	org pflaume	item pflaume	phontype pflaume	lextype pflaume	org stecknadel	item stecknadel	phontype stecknadel	lextype stecknadel	org ziege	item ziege	phontype ziege	lextype ziege	org zimmerfliege	item zimmerfliege	phontype zimmerfliege	lextype zimmerfliege
702	Hag K 9	7.94768	48.92407	maurer	Ēmāse	ēmāse	emase	Ameise	Lēīcht	lēīcht	leicht	Li(e)cht	Die De͞isel	dēisel	deisl	Deichsel	die Åtzel	åtzel	atsel	Atzel	Die Fladdermaus	fladdermaus	fladermaus	Fledermaus	Gugummere	gugummere	gugummere	Gugummer	Der Årschkitzler	årschkitzler	arschkitzler	Arschkitzel	Hewamm	hewamm	hewamm	Hebamme	Krummbeere	krummbeere	grumbere	Grundbirne	Maulwarfer	maulwarfer	maulwarfer	Maulwerfer	Pflaume	pflaume	pflaume	Pflaume	Stecknådel, Guff	guff, stecknådel	guf, schteknådel	Glufe, Stecknadel	Die Gaahs	gaaß	gas	Geiß	die Muck	muck	muk	Mücke
703	Hag M 1	7.07636	48.91048	maurer	de Ämäs	ämäs	emese	Ameise	Lich	lich	lich	Li(e)cht	de Ti̍ssel	ti̍ssel	disl	Deichsel	de Åtzel	åtzel	atsel	Atzel	de Fläddermüs	fläddermüs	fledermüs	Fledermaus	Gågůmmer	gågůmmer	gagummer	Gugummer	de Arschgrätzer	arschgrätzer	arschkrätzer	Arschkrätzer	Hewåm	hewåm	hewamm	Hebamme	Grůmbeer	grůmbeer	grumbere	Grundbirne	Wollgůarme	wollgůarme	wollgurme	Wollgurme	Brüm	brüm	prüm	Pflaume	Guw	guw	guw	Glufe	de Gäiss	gäiss	geis	Geiß	de Můck	můck	muk	Mücke
704	Hag M 10	7.08463	48.83742	maurer	Imse	imse	imse	Ameise	Licht	licht	licht	Li(e)cht	der Tissel	tissel	disl	Deichsel	dr Åtzel	åtzel	atsel	Atzel	Die Flädermus	flädermus	fledermus	Fledermaus	Gugumere	gugumere	gugummere	Gugummer	der Årschkrätzer	årschkrätzer	arschkrätzer	Arschkrätzer	Hewamm	hewamm	hewamm	Hebamme	Krummbir	krummbir	grumbire	Grundbirne	Mülgräwer	mülgräwer	mülgräwer	Mülgräber	Prume	prume	prume	Pflaume	Guwe	guwe	guwe	Glufe	die Geiß	geiß	geis	Geiß	die Muck	muck	muk	Mücke
705	Hag M 11/1	7.07612	48.87884	maurer	Ämǟs	ämǟs	emese	Ameise	Licht	licht	licht	Li(e)cht	Tissel	tissel	disl	Deichsel	Åtzel	åtzel	atsel	Atzel	Flädermüs 	flädermüs 	fledermüs	Fledermaus	Gogummer	gogummer	gagummer	Gugummer	Putt	putt	butt	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Wolkwurme	wolkwurme	wolkwurme	Wollgurme	Prümm	prümm	prüm	Pflaume	Guw	guw	guw	Glufe	Geiss	geiss	geis	Geiß	Muck	muck	muk	Mücke
706	Hag M 11/2	7.07612	48.87884	maurer	Ämäs	ämäs	emese	Ameise	Licht	licht	licht	Li(e)cht	a Dissel	dissel	disl	Deichsel	de Atzel	atzel	atsel	Atzel	De Fledermüs	fledermüs	fledermüs	Fledermaus	Gogummer	gogummer	gagummer	Gugummer	Putte	putte	butte	Butte	Hewang	hewang	hewang	Hebamme	Krummbeer	krummbeer	grumbere	Grundbirne	Wollgurme	wollgurme	wollgurme	Wollgurme	Prüm	prüm	prüm	Pflaume	Geffel	geffel	gefel	Glifle	Geis	geis	geis	Geiß	Muck	muck	muk	Mücke
707	Hag M 12	7.04974	48.87869	maurer	Ämäs	ämäs	emese	Ameise	Licht	licht	licht	Li(e)cht	der Tissel	tissel	disl	Deichsel	die Ātzel	ātzel	atsel	Atzel	die Fläddermüs	fläddermüs	fledermüs	Fledermaus	Gāgummere	gāgummere	gagummere	Gugummer	der Arschkrätzer	arschkrätzer	arschkrätzer	Arschkrätzer	Hewām	hewām	hewamm	Hebamme	Grumbeere	grumbeere	grumbere	Grundbirne	Wollgwurme	wollgwurme	wolkwurme	Wollgurme	Prümme	prümme	prüme	Pflaume	Guw	guw	guw	Glufe	die Geiß	geiß	geis	Geiß	der Pieser	pieser	pieser	Pieser
708	Hag M 2	7.06995	48.9005	maurer	ǟmes	ǟmes	emese	Ameise	Līcht	līcht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Åtzel	åtzel	atsel	Atzel	Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gegummer	gegummer	gegummer	Gugummer	Aschkrätzer	aschkrätzer	arschkrätzer	Arschkrätzer	Kindbetterin	kindbetterin	kindbetterin	Kindbetterin	Grumbier	grumbier	grumbire	Grundbirne	Wollwurf	wollwurf	wollwurf	Wollwurf	Brümme	brümme	prüme	Pflaume	Guw	guw	guw	Glufe	Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
709	Hag M 3	7.11226	48.90144	maurer	Ämäs	ämäs	emese	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Atzel	atzel	atsel	Atzel	Flahdermüs	flahdermüs	fladermüs	Fledermaus	Gagummer	gagummer	gagummer	Gugummer	Arschkratzer	arschkratzer	arschkrätzer	Arschkrätzer	Hewamm	hewamm	hewamm	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Wulkwurm	wulkwurm	wulkwurm	Wollgurme	Brümm	brümm	prüm	Pflaume	Guw	guw	guw	Glufe	Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
710	Hag M 4	7.1452	48.90983	maurer	d' Ämmes	ämmes	emese	Ameise	Licht	licht	licht	Li(e)cht	De Diesel	diesel	diesl	Deichsel	d'Atzel	atzel	atsel	Atzel	d'Flädermüs	flädermüs	fledermüs	Fledermaus	Gogummer	gogummer	gagummer	Gugummer	D' Pudde	pudde	butte	Butte	Hewang	hewang	hewang	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Müllwärfer, Molkwurme	müllwärfer, molkwurme	mülwerfer, molkwurme	Maulwerfer, Wollgurme	Brüm	brüm	prüm	Pflaume	Guw, Schdecknādel	schdecknādel, guw	schteknadel, guw	Stecknadel, Glufe	D' Gaïs	gaïs	geis	Geiß	d'Muck	muck	muk	Mücke
711	Hag M 5	7.1532	48.89487	maurer	d' Ämeß	ämeß	emese	Ameise	Licht	licht	licht	Li(e)cht	d'r Dissel	dissel	disl	Deichsel	d'Atzel	atzel	atsel	Atzel	d'Fleddermus	fleddermus	fledermus	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	d' Putt	putt	butt	Butte	Hewang	hewang	hewang	Hebamme	Grumbir	grumbir	grumbire	Grundbirne	Wolkwurme	wolkwurme	wolkwurme	Wollgurme	Brümm	brümm	prüm	Pflaume	Guw	guw	guw	Glufe	d' Geis	geis	geis	Geiß	d'Muck	muck	muk	Mücke
712	Hag M 6	7.15771	48.88171	maurer	Ãmã̄s	ãmã̄s	amase	Ameise	Līcht	līcht	licht	Li(e)cht	Dissl	dissl	disl	Deichsel	Atzl	atzl	atsel	Atzel	Fleddamüs	fleddamüs	fledermüs	Fledermaus	Gumerä	gumerä	gummere	Gummer	Budde	budde	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Grumbär	grumbär	grumbere	Grundbirne	Wollgurmä	wollgurmä	wollgurme	Wollgurme	Brümmä	brümmä	prüme	Pflaume	Guff	guff	guf	Glufe	Gaihs	gaiß	geis	Geiß	Muck	muck	muk	Mücke
713	Hag M 7	7.13172	48.8709	maurer	Ämäs	ämäs	emese	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Ātzel	ātzel	atsel	Atzel	Fläddermüs	fläddermüs	fledermüs	Fledermaus	Gegummer	gegummer	gegummer	Gugummer	Pudd, Ārschkrätzer	pudd, ārschkrätzer	butt, arschkrätzer	Butte, Arschkrätzer	Häwang	häwang	hewang	Hebamme	Grummbeer	grummbeer	grumbere	Grundbirne	Müllwerfer, Wollgorma	müllwerfer, wollgorma	mülwerfer, wollgorme	Maulwerfer, Wollgurme	Brüm	brüm	prüm	Pflaume	Guw	guw	guw	Glufe	Geis	geis	geis	Geiß	Muck	muck	muk	Mücke
714	Hag M 8	7.11652	48.8596	maurer	ǟmes	ǟmes	emese	Ameise	Līcht	līcht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Atzel	atzel	atsel	Atzel	Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gegummer	gegummer	gegummer	Gugummer	Årschkrätzere	årschkrätzere	arschkrätzere	Arschkrätzer	Hewåmm	hewåmm	hewamm	Hebamme	Grumbiere	grumbiere	grumbire	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Prüme	prüme	prüme	Pflaume	Knebbelsküwe	knebbelsküwe	knebbelsgüwe	Knebbelsgüfe	Gaiß	gaiß	geis	Geiß	Muck	muck	muk	Mücke
715	Hag M 9	7.15976	48.85488	maurer	Hämäse	hämäse	hemese	Ameise	Lĭcht	lĭcht	licht	Li(e)cht	der Dissl	dissl	disl	Deichsel	die Åtzel	åtzel	atsel	Atzel	Die Fladdermüs	fladdermüs	fladermüs	Fledermaus	Gegummere	gegummere	gegummere	Gugummer	die Årschgrätzere	årschgrätzere	arschkrätzere	Arschkrätzer	Hewång	hewång	hewang	Hebamme	Grummbire	grummbire	grumbire	Grundbirne	Mülwärfer	mülwärfer	mülwerfer	Maulwerfer	Brümme	brümme	prüme	Pflaume	Guw	guw	guw	Glufe	die Geiß	geiß	geis	Geiß	die Mugge	mugge	muke	Mücke
716	Hag N 1	7.31461	48.91322	maurer	d' Hämeis	hämeis	hemeise	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	d'Atzel	atzel	atsel	Atzel	d'Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gågummer	gågummer	gagummer	Gugummer	d' Butte	butte	butte	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Prümme	prümme	prüme	Pflaume	Guw	guw	guw	Glufe	d' Geiß	geiß	geis	Geiß	d'Muck	muck	muk	Mücke
717	Hag N 10	7.19745	48.89156	maurer	Emäse	emäse	emese	Ameise	Licht	licht	licht	Li(e)cht	die Dissel	dissel	disl	Deichsel	Dīe Atzel	atzel	atsel	Atzel	Di͞e Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gogummer	gogummer	gagummer	Gugummer	Die Hagebutte	hagebutte	hagebutte	Hagebutte	Hewam	hewam	hewamm	Hebamme	Grumbeere	grumbeere	grumbere	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Brüme	brüme	prüme	Pflaume	Gūwe	gūwe	guwe	Glufe	Die Gaihs	gaiß	geis	Geiß	die Muck	muck	muk	Mücke
718	Hag N 11	7.17993	48.88617	maurer	Ämäs	ämäs	emese	Ameise	Līcht	līcht	licht	Li(e)cht	Dissĕl	dissĕl	disl	Deichsel	Åtzl	åtzl	atsel	Atzel	Fläddermüs	fläddermüs	fledermüs	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	Årschkråtzerĕ	årschkråtzerĕ	arschkrätzere	Arschkrätzer	Hewång	hewång	hewang	Hebamme	Grumberĕ	grumberĕ	grumbere	Grundbirne	Müllwärfer	müllwärfer	mülwerfer	Maulwerfer	Prümme	prümme	prüme	Pflaume	Guw	guw	guw	Glufe	Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
719	Hag N 12	7.2198	48.88035	maurer	Emǟs	emǟs	emese	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Åtzel	åtzel	atsel	Atzel	Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gugumr	gugumr	gugummer	Gugummer	Budde	budde	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Grumbirr	grumbirr	grumbire	Grundbirne	Müllwerfer	müllwerfer	mülwerfer	Maulwerfer	Prümme	prümme	prüme	Pflaume	Gůw	gůw	guw	Glufe	d' Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
720	Hag N 13	7.18979	48.8662	maurer	d' ǟmäse	ǟmäse	emese	Ameise	Licht	licht	licht	Li(e)cht	dr Dissel	dissel	disl	Deichsel	d'Atzel	atzel	atsel	Atzel	d'Fleddermüß	fleddermüß	fledermüs	Fledermaus	Gogumer	gogumer	gagummer	Gugummer	d' Putte	putte	butte	Butte	Hewang	hewang	hewang	Hebamme	Grombeer	grombeer	grombere	Grundbirne	Müllwerfer	müllwerfer	mülwerfer	Maulwerfer	Prüme	prüme	prüme	Pflaume	Guw	guw	guw	Glufe	die Geiß	geiß	geis	Geiß	d'Mucke	mucke	muke	Mücke
721	Hag N 14	7.23096	48.86516	maurer	d' Emeis	emeis	emeise	Ameise	Licht	licht	licht	Li(e)cht	de Dissel	dissel	disl	Deichsel	d'atzel	atzel	atsel	Atzel	d'Flädermüs	flädermüs	fledermüs	Fledermaus	Gāgumer	gāgumer	gagummer	Gugummer	d' Butt	butt	butt	Butte	Hewang	hewang	hewang	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Brüm	brüm	prüm	Pflaume	Stoppnōdel	stoppnōdel	schtopnodel	Stopfnadel	d' Geis	geis	geis	Geiß	d'Muck	muck	muk	Mücke
722	Hag N 15	7.24351	48.85748	maurer	d' Emeis	emeis	emeise	Ameise	Licht	licht	licht	Li(e)cht	D' Disel (der)	disel	disl	Deichsel	d'Åtzel	åtzel	atsel	Atzel	d'Fläddermüs	fläddermüs	fledermüs	Fledermaus	Gagummer	gagummer	gagummer	Gugummer	D' Buttdde	buttdde	butte	Butte	Hewång	hewång	hewang	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Prüme	prüme	prüme	Pflaume	Gūw	gūw	guw	Glufe	D' Geiss	geiss	geis	Geiß	d'Muck	muck	muk	Mücke
723	Hag N 16	7.20676	48.84318	maurer	Ämeise	ämeise	emeise	Ameise	Licht	licht	licht	Li(e)cht	der Dissel	dissel	disl	Deichsel	Atzel	atzel	atsel	Atzel	Fledermüs	fledermüs	fledermüs	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	Butten	butten	butten	Butte	Hebamm	hebamm	hebamm	Hebamme	Krummbirä	krummbirä	grumbire	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Pfrumme	pfrumme	pfrume	Pflaume	Guw	guw	guw	Glufe	Geis	geis	geis	Geiß	Muck	muck	muk	Mücke
724	Hag N 17	7.17654	48.90012	maurer	d' Ämäs	ämäs	emese	Ameise	Licht	licht	licht	Li(e)cht	dr Dissel	dissel	disl	Deichsel	de Atzel	atzel	atsel	Atzel	de Fledermüs	fledermüs	fledermüs	Fledermaus	Gogummer	gogummer	gagummer	Gugummer	de Butt	butt	butt	Butte	Hewang	hewang	hewang	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Wolkwurme	wolkwurme	wolkwurme	Wollgurme	Quetschbrümm	quetschbrümm	gwetschprüm	Quetschpflaume	Guw	guw	guw	Glufe	de geis	geis	geis	Geiß	de Muck	muck	muk	Mücke
725	Hag N 2	7.28852	48.90706	maurer	d' Hämeis	hämeis	hemeise	Ameise	Licht	licht	licht	Li(e)cht	d' Dissel	dissel	disl	Deichsel	d'Atzel	atzel	atsel	Atzel	d'Flādermüs	flādermüs	fladermüs	Fledermaus	Gugummer	gugummer	gugummer	Gugummer	d' Budde	budde	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Grumbier	grumbier	grumbire	Grundbirne	Müllwerfer	müllwerfer	mülwerfer	Maulwerfer	Prümm	prümm	prüm	Pflaume	Gůw	gůw	guw	Glufe	d' Gais	gais	geis	Geiß	de Mugge	mugge	muke	Mücke
726	Hag N 3	7.28007	48.90754	maurer	Hämis	hämis	hemise	Ameise	Līcht	līcht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Elschter	elschter	elschter	Elster	Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gogummre	gogummre	gagummere	Gugummer	Juckpulver, Butte	juckpulver, butte	jukpulver, butte	Juckpulver, Butte	Hēwamm	hēwamm	hewamm	Hebamme	Krumbiere	krumbiere	grumbire	Grundbirne	Müllwerfer	müllwerfer	mülwerfer	Maulwerfer	Brüme	brüme	prüme	Pflaume	Nodel, Gūf	gūf, nodel	guf, nodel	Glufe, Nadel	Gais	gais	geis	Geiß	Muck	muck	muk	Mücke
727	Hag N 4	7.25159	48.91879	maurer	Ämäs	ämäs	emese	Ameise	Lich	lich	lich	Li(e)cht	Dissel	dissel	disl	Deichsel	na	na	na	na	Flädrmüs	flädrmüs	fledermüs	Fledermaus	Gogummer	gogummer	gagummer	Gugummer	Årschgratzr	årschgratzr	arschkrätzer	Arschkrätzer	Hewåm	hewåm	hewamm	Hebamme	Grumbeere	grumbeere	grumbere	Grundbirne	Mülwärfr	mülwärfr	mülwerfer	Maulwerfer	Prümme	prümme	prüme	Pflaume	Guf	guf	guf	Glufe	Gais	gais	geis	Geiß	Muck	muck	muk	Mücke
728	Hag N 5	7.24987	48.90483	maurer	Ämeis	ämeis	emeise	Ameise	Līcht	līcht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Atzel	atzel	atsel	Atzel	Flädermüß 	flädermüß 	fledermüs	Fledermaus	Gāgummere	gāgummere	gagummere	Gugummer	Būdde	būdde	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Grumbeer	grumbeer	grumbere	Grundbirne	Mülwärfer	mülwärfer	mülwerfer	Maulwerfer	Prüm	prüm	prüm	Pflaume	Guff	guff	guf	Glufe	Geiß	geiß	geis	Geiß	Mūck	mūck	muk	Mücke
729	Hag N 6	7.25475	48.89009	maurer	Hemeise	hemeise	hemeise	Ameise	Lischt, Begräbnis	lischt, begräbnis	lischt, begräbnis	Li(e)cht, Begräbnis	der Dissl	dissl	disl	Deichsel	die Åtzel	åtzel	atsel	Atzel	die Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gågummere	gågummere	gagummere	Gugummer	die Butte, Hāwlbutte	hāwlbutte, butte	hawelbutte, butte	Hagebutte, Butte	Hebamm	hebamm	hebamm	Hebamme	Grumbire	grumbire	grumbire	Grundbirne	Mühlwerfer	mühlwerfer	mülwerfer	Maulwerfer	Brümme	brümme	prüme	Pflaume	Guff	guff	guf	Glufe	die Geiß	geiß	geis	Geiß	die Muck	muck	muk	Mücke
730	Hag N 7	7.26874	48.86912	maurer	Ämeise	ämeise	emeise	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Ātzel	ātzel	atsel	Atzel	Fledermüs	fledermüs	fledermüs	Fledermaus	Gagummere	gagummere	gagummere	Gugummer	Butte	butte	butte	Butte	Hewa͡mm	hewȃmm	hewamm	Hebamme	Grumbere	grumbere	grumbere	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Prümme	prümme	prüme	Pflaume	Gūff	gūff	guf	Glufe	Geiß	geiß	geis	Geiß	Mȗck	mȗck	muk	Mücke
731	Hag N 8	7.32076	48.85864	maurer	Emeis	emeis	emeise	Ameise	Licht	licht	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Atzel	atzel	atsel	Atzel	Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gagumere	gagumere	gagummere	Gugummer	Bütte	bütte	bütte	Butte	Hewamm	hewamm	hewamm	Hebamme	Grumbiere	grumbiere	grumbire	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Blüme	blüme	plüme	Pflaume	Guff	guff	guf	Glufe	Geiss	geiss	geis	Geiß	Muck	muck	muk	Mücke
732	Hag N 9	7.20348	48.90463	maurer	ǟmǟs	ǟmǟs	emese	Ameise	Līchd	līchd	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Elschdr	elschdr	elschter	Elster	Fläddrmüß	fläddrmüß	fledermüs	Fledermaus	Gugumm'r	gugummr	gugummer	Gugummer	Årschkratzr	årschkratzr	arschkrätzer	Arschkrätzer	Hewåmm'	hewåmm	hewamm	Hebamme	Grumbēre	grumbēre	grumbere	Grundbirne	Mǖlwerfr	mǖlwerfr	mülwerfer	Maulwerfer	Prüm	prüm	prüm	Pflaume	Guw'	guw	guw	Glufe	Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
733	Hag O 1	7.48181	48.9216	maurer	Ämeis	ämeis	emeise	Ameise	Licht	licht	licht	Li(e)cht	Dischel	dischel	dischl	Deichsel	Åtzel	åtzel	atsel	Atzel	Fladdermüs	fladdermüs	fladermüs	Fledermaus	Gågumer	gågumer	gagummer	Gugummer	Butte	butte	butte	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Grumbiar	grumbiar	grumbire	Grundbirne	Mülwalfer	mülwalfer	mülwalfer	Maulwerfer	Blüm	blüm	plüm	Pflaume	Guff	guff	guf	Glufe	Gais	gais	geis	Geiß	d'Mugg	mugg	muk	Mücke
734	Hag O 10	7.4662	48.84923	maurer	d' Amais	amais	ameise	Ameise	Lich	lich	lich	Li(e)cht	d' Dischel	dischel	dischl	Deichsel	d'Åtzel	åtzel	atsel	Atzel	d'Fladdermüs	fladdermüs	fladermüs	Fledermaus	Gågummer	gågummer	gagummer	Gugummer	d'Butt 	butt 	butt	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Grumbär	grumbär	grumbere	Grundbirne	Müllwalfer	müllwalfer	mülwalfer	Maulwerfer	Pflüüm	pflüüm	pflüm	Pflaume	Guff 	guff 	guf	Glufe	d' Geiß	geiß	geis	Geiß	d'Muck	muck	muk	Mücke
735	Hag O 11	7.45013	48.85174	maurer	Ameis	ameis	ameise	Ameise	Licht	licht	licht	Li(e)cht	Dischel	dischel	dischl	Deichsel	Åtzel	åtzel	atsel	Atzel	Fladdermüß	fladdermüß	fladermüs	Fledermaus	Gågummer	gågummer	gagummer	Gugummer	Bůtt	bůtt	butt	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Grůmbeer	grůmbeer	grumbere	Grundbirne	Müllwälfer	müllwälfer	mülwelfer	Maulwerfer	Pflühm	pflühm	pflüm	Pflaume	Gůff	gůff	guf	Glufe	Geiß	geiß	geis	Geiß	Můck	můck	muk	Mücke
736	Hag O 12	7.41341	48.85298	maurer	ǟmeise	ǟmeise	ameise	Ameise	Lischt	lischt	lischt	Li(e)cht	Dischel	dischel	dischl	Deichsel	Aztel	aztel	atsel	Atzel	Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gogummer	gogummer	gagummer	Gugummer	Butte	butte	butte	Butte	Hewamm	hewamm	hewamm	Hebamme	Grumbeer(e )	grumbeer, grumbeere	grumbere, grumbere	Grundbirne, Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Pflüm(e)	pflüme, pflüm	pflüme, pflüm	Pflaume, Pflaume	Guff	guff	guf	Glufe	Geiß	geiß	geis	Geiß	d'Muck(e)	mucke, muck	muke, muk	Mücke, Mücke
737	Hag O 2	7.41957	48.91035	maurer	d' Ameis	ameis	ameise	Ameise	Licht	licht	licht	Li(e)cht	d' Dischel	dischel	dischl	Deichsel	d'Atzel	atzel	atsel	Atzel	d'Fleddermüs	fleddermüs	fledermüs	Fledermaus	Gagōmmer	gagōmmer	gagommer	Gugummer	d' Bōtte	bōtte	botte	Butte	Hévan	hévan	hewann	Hebamme	Grumbiere	grumbiere	grumbire	Grundbirne	Mülwelfer	mülwelfer	mülwelfer	Maulwerfer	Plüme	plüme	plüme	Pflaume	Stecknodel	stecknodel	schteknodel	Stecknadel	s' Zegele	zegele	zegele	Zickele	d'Mock	mock	mok	Mücke
738	Hag O 3	7.34551	48.89955	maurer	Ämeis	ämeis	emeise	Ameise	Lichd	lichd	licht	Li(e)cht	Dissel	dissel	disl	Deichsel	Atzel	atzel	atsel	Atzel	Fleddermus	fleddermus	fledermus	Fledermaus	Gagummer	gagummer	gagummer	Gugummer	Budde	budde	butte	Butte	Hebamm	hebamm	hebamm	Hebamme	Grummbeere	grummbeere	grumbere	Grundbirne	Mülwerfer	mülwerfer	mülwerfer	Maulwerfer	Prüme	prüme	prüme	Pflaume	Stecknådl	stecknådl	schteknådl	Stecknadel	Geihs	geiß	geis	Geiß	Muck	muck	muk	Mücke
739	Hag O 4	7.3596	48.87532	maurer	d' Āmeis	āmeis	ameise	Ameise	Licht	licht	licht	Li(e)cht	a Dischel	dischel	dischl	Deichsel	Elster	elster	elschter	Elster	d'Flädermüs	flädermüs	fledermüs	Fledermaus	Gāgummer	gāgummer	gagummer	Gugummer	d' Bütte	bütte	bütte	Butte	Hewām	hewām	hewamm	Hebamme	Krumbere	krumbere	grumbere	Grundbirne	Mülwärfer	mülwärfer	mülwerfer	Maulwerfer	Pflüme	pflüme	pflüme	Pflaume	Stecknädel	stecknädel	schteknädel	Stecknadel	d' Geis	geis	geis	Geiß	d'Mück	mück	mük	Mücke
740	Hag O 5	7.41533	48.87754	maurer	d' Eämeise	eämeise	emeise	Ameise	Licht	licht	licht	Li(e)cht	dr Dissel	dissel	disl	Deichsel	d'Atzel	atzel	atsel	Atzel	d'Fleddermüß	fleddermüß	fledermüs	Fledermaus	Gågummer	gågummer	gagummer	Gugummer	d' Butte	butte	butte	Butte	Hewåm̄	hewåm̄	hewamm	Hebamme	Grumbēre	grumbēre	grumbere	Grundbirne	Müllwelfer	müllwelfer	mülwelfer	Maulwerfer	Pflümme	pflümme	pflüme	Pflaume	Guff	guff	guf	Glufe	d' Geis	geis	geis	Geiß	d'Mugge	mugge	muke	Mücke
741	Hag O 6	7.44029	48.87157	maurer	Emeis	emeis	emeise	Ameise	Li̊cht	li̊cht	licht	Li(e)cht	Dischel	dischel	dischl	Deichsel	Åtzel	åtzel	atsel	Atzel	Fläddermüs	fläddermüs	fledermüs	Fledermaus	Gågůmmer	gågůmmer	gagummer	Gugummer	Bůtt	bůtt	butt	Butte	Hewåmm	hewåmm	hewamm	Hebamme	Grůmmbeer	grůmmbeer	grumbere	Grundbirne	Mulwälfer	mulwälfer	mulwelfer	Maulwerfer	Pfümm	pfümm	pflüm	Pflaume	Gůff	gůff	guf	Glufe	Gais	gais	geis	Geiß	Můck	můck	muk	Mücke
742	Hag O 7	7.48031	48.87322	maurer	d' Emais	emais	emeise	Ameise	Licht	licht	licht	Li(e)cht	Dischel	dischel	dischl	Deichsel	d'Ātzl	ātzl	atsel	Atzel	d'Fläddermüs	fläddermüs	fledermüs	Fledermaus	Gāgumr	gāgumr	gagummer	Gugummer	d' Butt	butt	butt	Butte	Häwāmme	häwāmme	hewamme	Hebamme	Grumber	grumber	grumbere	Grundbirne	Mǖlwälfer	mǖlwälfer	mülwelfer	Maulwerfer	Pflüm	pflüm	pflüm	Pflaume	Guff	guff	guf	Glufe	d' Gaiß	gaiß	geis	Geiß	d'Muck	muck	muk	Mücke
