	Fragebogen Nr.	Longitude	Latitude	Erhebung	org ameise	item ameise	phontype ameise	lextype ameise	org begräbnis	item begräbnis	phontype begräbnis	lextype begräbnis	org deichsel	item deichsel	phontype deichsel	lextype deichsel	org elster	item elster	phontype elster	lextype elster	org fledermaus	item fledermaus	phontype fledermaus	lextype fledermaus	org gurke	item gurke	phontype gurke	lextype gurke	org hagebutte	item hagebutte	phontype hagebutte	lextype hagebutte	org hebamme	item hebamme	phontype hebamme	lextype hebamme	org kartoffel	item kartoffel	phontype kartoffel	lextype kartoffel	org maulwurf	item maulwurf	phontype maulwurf	lextype maulwurf	org pflaume	item pflaume	phontype pflaume	lextype pflaume	org stecknadel	item stecknadel	phontype stecknadel	lextype stecknadel	org ziege	item ziege	phontype ziege	lextype ziege	org zimmerfliege	item zimmerfliege	phontype zimmerfliege	lextype zimmerfliege
4012	MH x1	9.58787	49.65953	maurer	e Săchēmes	săchēmes	sachemese	Seichemes	die Leichd	leichd	leicht	Li(e)cht	die Deisel	deisel	deisl	Deichsel	e Elster	elster	elschter	Elster	e Fleddermaus	fleddermaus	fledermaus	Fledermaus	e Kümmerle	kümmerle	kümmerle	Kümmerle	die Hifflde̊r	hifflde̊r	hiflder	Hifelder	di Hewamm	hewamm	hewamm	Hebamme	die Grumbēre	grumbēre	grumbere	Grundbirne	en Wühler	wühler	wühler	Wühler	die Pflåume	pflåume	pflaume	Pflaume	e Schdegnödele	schdegnödele	schteknodele	Stecknadele	e Gāß	gāß	gas	Geiß	e Mugge	mugge	muke	Mücke
4013	MH X1	9.67156	49.38805	maurer	Eimes	eimes	eimese	Ameise	Die Leīcht	leīcht	leicht	Li(e)cht	Die Deigschel	deigschel	deigschl	Deichsel	Die Elschter	elschter	elschter	Elster	Die Fledermausch	fledermausch	fledermausch	Fledermaus	die Gummern 	gummern 	gummern	Gummer	die Hiffeldér	hiffeldér	hifelder	Hifelder	Die Hēwamm	hēwamm	hewamm	Hebamme	die Ebīrn	ebīrn	erbirne	Erdbirne	na	na	na	na	die Pflåme	pflåme	pflame	Pflaume	Die Stecknodel	stecknodel	schteknodel	Stecknadel	Die Gāß	gāß	gas	Geiß	Die Muck	muck	muk	Mücke
4014	MH x2	9.63526	49.6621	maurer	Emmezze	emmezze	emetse	Ameise	Laicht	laicht	leicht	Li(e)cht	Deisel	deisel	deisl	Deichsel	Hätze	hätze	hetse	Hetze	Fläddermaus	fläddermaus	fledermaus	Fledermaus	Kümmerling	kümmerling	kümmerling	Kümmerle	Hiffelder	hiffelder	hifelder	Hifelder	Hewamm	hewamm	hewamm	Hebamme	Grummbiere	grummbiere	grumbire	Grundbirne	Wühler	wühler	wühler	Wühler	Pflaume	pflaume	pflaume	Pflaume	Schdecknodel	schdecknodel	schteknodel	Stecknadel	Gaß	gaß	gas	Geiß	Mugge	mugge	muke	Mücke
4015	MH x3	9.65946	49.64719	maurer	Ameise	ameise	ameise	Ameise	die Beerdichung	beerdichung	beerdichung	Beerdigung	die Deichsel	deichsel	deigsl	Deichsel	die Hätze	hätze	hetse	Hetze	die Fleddermaus	fleddermaus	fledermaus	Fledermaus	Kümmerling	kümmerling	kümmerling	Kümmerle	Hussefaggeli	hussefaggeli	hussefakeli	Hussefackeli	die Hebamme	hebamme	hebamme	Hebamme	Kartoffel	kartoffel	kadoffel	Kartoffel	Wühler	wühler	wühler	Wühler	Zipperli	zipperli	ziberle	Zipperle	die Stecknådel	stecknådel	schteknådel	Stecknadel	die Gaas	gaas	gas	Geiß	die Mucke	mucke	muke	Mücke
4016	MH x4	9.63593	49.58974	maurer	Amese (Emes)	emes, amese	emese, amese	Ameise, Ameise	Beerdigung	beerdigung	beerdigung	Beerdigung	Deichschel	deichschel	deigschl	Deichsel	Hätze	hätze	hetse	Hetze	Fleddermausch	fleddermausch	fledermausch	Fledermaus	Kümmerling	kümmerling	kümmerling	Kümmerle	Hiffelder	hiffelder	hifelder	Hifelder	Hebamme	hebamme	hebamme	Hebamme	Kartoffel	kartoffel	kadoffel	Kartoffel	Wühler	wühler	wühler	Wühler	Pflaume	pflaume	pflaume	Pflaume	Stecknodel	stecknodel	schteknodel	Stecknadel	Geiß	geiß	geis	Geiß	Muck	muck	muk	Mücke
4017	MH x5	9.58726	49.59451	maurer	Emes	emes	emese	Ameise	Leicht	leicht	leicht	Li(e)cht	Deischel	deischel	deischl	Deichsel	Hätze	hätze	hetse	Hetze	Fledermausch	fledermausch	fledermausch	Fledermaus	Kümerle	kümerle	kümmerle	Kümmerle	Hifelder	hifelder	hifelder	Hifelder	Hebamm	hebamm	hebamm	Hebamme	Kartoffel	kartoffel	kadoffel	Kartoffel	Wühler	wühler	wühler	Wühler	Pflaume	pflaume	pflaume	Pflaume	Stecknoidele	stecknoidele	schteknoidele	Stecknadele	Gas	gas	gas	Geiß	Mugge	mugge	muke	Mücke
4018	MH x6	9.59419	49.61802	maurer	Ēmes (f)	ēmes	emese	Ameise	Laicht (f)	laicht	leicht	Li(e)cht	Deigschel (f)	deigschel	deigschl	Deichsel	Hätze (f)	hätze	hetse	Hetze	Fleddermausch (f)	fleddermausch	fledermausch	Fledermaus	Kümmerling (f) 	kümmerling 	kümmerling	Kümmerle	Hiffelder, Håchebützeli (f)	hiffelder, håchebützeli	hifelder, hachebützli	Hifelder, Hagebuttle	Hewamm, Bobbelesbāsch	hewamm, bobbelesbāsch	hewamm, bobbelesbasch	Hebamme, Bobbelesbase	Kardoffl (f)	kardoffl	kadoffel	Kartoffel	Wühler (m)	wühler	wühler	Wühler	Pflaume (f)	pflaume	pflaume	Pflaume	Nōdel (f), Schdeggnōdel (f)	schdeggnōdel, nōdel	schteknodel, nodel	Stecknadel, Nadel	Gās (f)	gās	gas	Geiß	Mugge (f)	mugge	muke	Mücke
4019	MH x7	9.52459	49.61864	maurer	Saachhemez (f)	saachhemez	sachhemetse	Seichemes	Leicht (f)	leicht	leicht	Li(e)cht	Deigschel (f), (Deischel)	deischel, deigschel	deischl, deigschl	Deichsel, Deichsel	Elschter (f), (Hätz)	hätz, elschter	hets, elschter	Hetze, Elster	Fläddermausch (f), (Schbǟkmausch)	schbǟkmausch, fläddermausch	schpekmausch, fledermausch	Speckmaus, Fledermaus	Kümmerle (n) 	kümmerle  	kümmerle	Kümmerle	die Hiffelda	hiffelda	hifelder	Hifelder	Hewamm (f)	hewamm	hewamm	Hebamme	Katoffl (f)	katoffl	kadoffel	Kartoffel	Wühler (m)	wühler	wühler	Wühler	Pflo͜ume (f)	pflo͜ume	pflaume	Pflaume	Stecknoodl (f)	stecknoodl	schteknodl	Stecknadel	Die Gaaß	gaaß	gas	Geiß	Die Mugge	mugge	muke	Mücke
4020	MH x8	9.66553	49.62352	maurer	Eemes	eemes	emese	Ameise	Die Leich	leich	leich	Li(e)cht	Die Deixel	deixel	deigsl	Deichsel	Der Häher, Regenvougel	regenvougel, häher	regenvogel, här	Regenvogel, Häher	Die Fleddermaus	fleddermaus	fledermaus	Fledermaus	die Kümmerling	kümmerling	kümmerling	Kümmerle	die Hiffelder	hiffelder	hifelder	Hifelder	Die Amm, neu: Hewamm	hewamm, amm	hewamm, amm	Hebamme, Amme	die Kart(d)offel	kartoffel, kardoffel	kadoffel, kadoffel	Kartoffel, Kartoffel	Der Wühler, Der Zackerer	zackerer, wühler	tsackerer, wühler	Zäckerer, Wühler	Pflaume (f), Pfläumle	pfläumle, pflaume	pfläumle, pflaume	Pfläumle, Pflaume	Die Stecknoodel	stecknoodel	schteknodel	Stecknadel	Die Ga͟aß	gāaß	gas	Geiß	Die Mucke	mucke	muke	Mücke
4021	MH x9	9.61232	49.63373	maurer	Emetz	emetz	emetse	Ameise	Die Leicht	leicht	leicht	Li(e)cht	Die Deixel 	deixel 	deigsl	Deichsel	Die Elster	elster	elschter	Elster	Die Fleddermaus	fleddermaus	fledermaus	Fledermaus	der Kümmerling	kümmerling	kümmerling	Kümmerle	die Hiffelder	hiffelder	hifelder	Hifelder	Die Hehwamm	hehwamm	hewamm	Hebamme	die Kartoffel	kartoffel	kadoffel	Kartoffel	Der Wüler	wüler	wühler	Wühler	die Pflaume	pflaume	pflaume	Pflaume	Die Stecknodel	stecknodel	schteknodel	Stecknadel	Die Gaaß	gaaß	gas	Geiß	Die Mucke	mucke	muke	Mücke
