	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
549	TUTT S12	III_16_0135	Unteralpfen, Unteralpfen	8.13573, 47.64543	līch	l ī ch	liich	l ii ch	2
550	TÜB a11	III_8_0107	Bühl, Bühl	8.13592, 48.69536	lich	l i ch	leiche	l ei ch e	2
551	TUTT h6	III_13_0076	Gütenbach, Gütenbach	8.13807, 48.04398	liche	l i ch e	līchä	l ī ch ä	2
552	KST S15	III_7_0112	Iffezheim, Iffezheim	8.14011, 48.82287	liich	l ii ch	liech	l ie ch	1
553	KST D7	III_5_0116, III_5_0115	Münchhausen (Munchhausen), Münchhausen	8.14635, 48.92142	leicht	l ei ch t	leiche	l ei ch e	1
554	TUTT w5	III_14_0073	Raitenbuch, Raitenbuch	8.14698, 47.86647	lichd	l i ch d	licht	l i ch t	1
555	KST D6	III_5_0117	Motern (Mothern), Motern	8.15128, 48.93354	laichd	l a i ch d	leichd	l ei ch d	1
556	TUTT S11	III_16_0136	Oberalpfen, Oberalpfen	8.15262, 47.65791	līch	l ī ch	liicht	l ii ch t	3
557	KST L5	III_6_0090	Plittersdorf bei Rastatt, Plittersdorf	8.15649, 48.88249	licht	l i ch t	lichd	l i ch d	1
558	TUTT a5	III_12_0146	Rohrhardsberg, Rohrhardsberg	8.16036, 48.1327	līche	l ī ch e	leiche	l ei ch e	2
559	TÜB b5	III_8_0102, III_8_0101	Eisental, Eisental	8.16417, 48.71189	līch	l ī ch	lich	l i ch	1
560	TUTT M2	III_15_0113, III_15_0129	Höchenschwand, Höchenschwand	8.16491, 47.73427	līch	l ī ch	lich	l i ch	1
561	TUTT M1	III_15_0120	Attlisberg, Attlisberg	8.16607, 47.72173	līch	l ī ch	lich	l i ch	1
562	TÜB M5	III_11_0146, III_11_0144, III_11_0145	Hausach und Einbach, Einbach, Einbach-Hauserbach	8.16759, 48.2974	lîchd	l î ch d	liecht	l ie ch t	3
563	TUTT T4	III_16_0147	Waldkirch, Waldkirch	8.17132, 47.65851	liich	l ii ch	liech	l ie ch	1
564	TUTT i5	III_13_0093	Neukirch, Neukirch	8.17383, 48.02447	līche	l ī ch e	liiche	l ii ch e	2
565	TUTT D3	III_14_0175	Blasiwald (Am Schluchsee), Blasiwald	8.17706, 47.7987	līchd	l ī ch d	liecht	l ie ch t	3
566	TUTT E2	III_14_0177	Schluchsee, Schluchsee	8.17828, 47.81706	líích	l íí ch	lich	l i ch	2
567	KST E1	III_5_0127	Lauterburg (Weissenburg) (Lauterbourg), Lauterburg	8.18046, 48.97495	laischd	l a i sch d	leich	l ei ch	3
568	TUTT M3	III_15_0121	Amrigschwand, Amrigschwand	8.1855, 47.71974	līch	l ī ch	lich	l i ch	1
569	TUTT M15	III_15_0114	Bierbronnen, Bierbronnen	8.18848, 47.6749	līch	l ī ch	liich	l ii ch	2
570	TUTT T3	III_16_0159	Schmitzingen, Schmitzingen	8.19315, 47.65491	lich	l i ch	laiecht	l a ie ch t	3
571	TÜB x3	III_10_0141	Maisach, Maisach	8.20067, 48.47223	licht	l i ch t	lich	l i ch	1
