	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
472	Stra D 9	III_10_0125	Zell-Weierbach (Weierbach), Zell-Weierbach	7.98174, 48.47408	muck	m u ck	mucke	m u ck e	1
473	Stra h 3	III_8_0097	Grauelsbaum, Grauelsbaum	7.98186, 48.73575	mug	m u g	muck	m u ck	2
474	Stra h 7	III_8_0093	Memprechtshofen, Memprechtshofen	7.98237, 48.68233	mugge	m u gg e	muck	m u ck	3
475	Hag K 6	III_5_0106	Aschbach, Aschbach	7.98262, 48.93423	mick	m i ck	mück	m ü ck	1
476	Stra w 6	III_10_0062	Ebersweier, Ebersweier	7.98301, 48.50723	muck	m u ck	mucken	m u ck e n	2
477	Hag Y 9	III_7_0104	Falhünden (Dalhünden), Dallhuenden, Fallhuenden	7.98835, 48.77367	mŭck	m ŭ ck	mŭcke	m ŭ ck e	1
478	Hag K 7	III_5_0105	Stundweiler (Stundwiller), Stundweiler	7.99256, 48.92477	mick	m i ck	micke	m i ck e	1
479	Stra D 13	III_10_0121	Ohlsbach, Ohlsbach	7.99275, 48.43199	můck	m ů ck	muck	m u ck	1
480	Stra p 7	III_9_0086	Wagshurst, Wagshurst	7.99491, 48.62035	můck	m ů ck	muck	m u ck	1
481	Stra h 5	III_8_0096	Scherzheim, Scherzheim	7.99655, 48.7137	mug	m u g	muck	m u ck	2
482	TÜB p11	III_10_0065	Nesselried, Nesselried	8.00608, 48.52212	muck	m u ck	mucke	m u ck e	1
483	KST S9	III_7_0118	Greffern, Greffern	8.00704, 48.7525	mugge	m u gg e	mugg	m u gg	1
484	TÜB w1/1, TÜB w1/2	III_10_0135	Durbach, Durbach	8.01775, 48.49407	mugge	m u gg e	muck	m u ck	3
485	TÜB D7	III_11_0071	Fußbach, Fußbach	8.01836, 48.36476	muck	m u ck	mucke	m u ck e	1
486	TÜB h1/2, TÜB h1/1	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	muck	m u ck	mugge	m u gg e	3
487	TÜB p12	III_10_0068	Nussbach, Nussbach	8.02103, 48.53543	mugge	m u gg e	muck	m u ck	3
488	TÜB p15	III_10_0071	Erlach, Erlach	8.02495, 48.56914	mugge	m u gg e	muck	m u ck	3
489	TÜB D10	III_11_0066, III_11_0067	Schwaibach, Schwaibach	8.03268, 48.39239	muck	m u ck	mucke	m u ck e	1
490	Stra S 5	III_11_0126	Schönberg, Schönberg	8.0327, 48.36461	muck	m u ck	muge	m u g e	2
491	TÜB h7	III_9_0098	Önsbach, Oensbach	8.03279, 48.60579	mugg	m u gg	mugge	m u gg e	1
492	KST L10	III_6_0093, III_6_0092	Forstfeld, Forstfeld	8.03702, 48.859	mugg	m u gg	muck	m u ck	2
493	KST S4	III_7_0109	Röschwoog (Roeschwoog), Röschwoog	8.04001, 48.83085	muck	m u ck	mueck	m u e ck	1
494	TÜB p10	III_10_0077	Bottenau/Oberkirch, Bottenau	8.04409, 48.5298	muck	m u ck	mugge	m u gg e	3
495	TÜB a3	III_7_0119	Schwarzach (bei Bühl), Schwarzach	8.04423, 48.74717	mugg	m u gg	muck	m u ck	2
496	KST D1	III_5_0123	Schleital (Schleithal), Schleithal	8.04688, 48.98799	muk	m u k	mick	m i ck	2
497	TÜB p1	III_10_0072	Ulm Kr. Offenburg, Ulm	8.05069, 48.57993	muͦck	m u ͦ ck	muck	m u ck	1
498	TÜB p2	III_10_0073	Haslach, Haslach	8.05661, 48.56552	mucke	m u ck e	muck	m u ck	1
499	KST L8	III_6_0094	Roppenheim, Roppenheim	8.05791, 48.8465	muggä	m u gg ä	muck	m u ck	3
500	TÜB h5	III_9_0091, III_9_0090	Achern, Achern	8.06363, 48.62871	mugg	m u gg	mück	m ü ck	3
501	KST D14	III_5_0113	Eberbach-Selz, Eberbach-Selz	8.06718, 48.92481	muck	m u ck	mucke	m u ck e	1
502	KST L11	III_6_0096	Kesseldorf (Weissenburg), Kesseldorf	8.06748, 48.87606	mucke	m u ck e	mugg	m u gg	3
503	KST D2	III_5_0122	Salmbach (bei Weißenburg), Salmbach	8.07143, 48.97818	mügge	m ü gg e	migge	m i gg e	1
504	TÜB L6	III_11_0136	Bollenbach, Bollenbach	8.07369, 48.29315	mucke	m u ck e	mucken	m u ck e n	1
505	TÜB D1/1, TÜB D1/2	III_11_0069, III_11_0068	Nordrach, Nordrach	8.08082, 48.39898	mucke	m u ck e	muck	m u ck	1
506	KST L12	III_6_0095	Beinheim (Weissenburg), Beinheim	8.08253, 48.86153	muck	m u ck	muke	m u k e	2
507	TÜB L7	III_11_0138, III_11_0140, III_11_0139	Haslach im Kinzigtal, Haslach i. K.	8.08413, 48.28008	mugga	m u gg a	muck	m u ck	3
