	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
133	TUTT T5	III_16_0158	Eschbach, Eschbach	8.18086, 47.6336	flügge	f l ü gg e	flüüge	f l üü g e	1
134	TUTT M3	III_15_0121	Amrigschwand, Amrigschwand	8.1855, 47.71974	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
135	TUTT M15	III_15_0114	Bierbronnen, Bierbronnen	8.18848, 47.6749	flüge	f l ü g e	flühge	f l ü h g e	1
136	TÜB T5	III_12_0069	Rensberg, Rensberg	8.1889, 48.17741	fliege	f l ie g e	flieg	f l ie g	1
137	TUTT T3	III_16_0159	Schmitzingen, Schmitzingen	8.19315, 47.65491	flüge	f l ü g e	flügə	f l ü g ə	1
138	TUTT b3	III_12_0161	Schonach, Schonach	8.20179, 48.14296	fliag	f l i a g	fliage	f l i a g e	1
139	TÜB E2	III_11_0080	Seebach, Seebach	8.20278, 48.57466	fli ͤge	f l i  ͤ g e	fliᵉge	f l i ᵉ g e	2
140	TUTT T7	III_16_0149	Waldshut, Waldshut	8.21445, 47.6237	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
141	TÜB E4, TÜB M4	III_11_0079	Oberwolfach, Oberwolfach-Walke	8.21698, 48.3174	fliä̠g	f l i ä ̠ g	fliege	f l ie g e	3
142	TUTT T2	III_16_0160	Indlekofen, Indlekofen	8.22113, 47.65889	flüge	f l ü g e	flüüge	f l üü g e	1
143	TÜB T4	III_12_0068, III_12_0067	Niederwasser, Niederwasser	8.22818, 48.18982	fliäge	f l i ä g e	fliag	f l i a g	2
144	TÜB T2	III_12_0073	Reichenbach, Reichenbach	8.22958, 48.21343	fliēg	f l i ē g	fliege	f l ie g e	2
145	TUTT i7	III_13_0090	Schönenbach, Schönenbach	8.23618, 48.04705	fliège	f l i è g e	fliege	f l ie g e	1
146	TUTT q8	III_13_0161	Rudenberg, Rudenberg	8.23807, 47.9196	fliag	f l i a g	fliäge	f l i ä g e	2
147	TUTT M13	III_15_0128	Dietlingen, Dietlingen	8.24371, 47.67342	flïege	f l ï e g e	flüge	f l ü g e	2
148	TUTT q2	III_13_0157	Schollach, Schollach	8.24463, 47.98628	fliägä	f l i ä g ä	fliēg	f l i ē g	2
