	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
113	KST g10	III_18_0063	Kälbertshausen, Kälbertshausen	9.06276, 49.31724	stecknōdel	s t e ck n ō d e l	schdecknōdl	sch d e ck n ō d l	4
114	MH T17	II_60_0075	Neckargerach, Neckargerach	9.0708, 49.40101	schdeggnodl	sch d e gg n o d l	stecknodel	s t e ck n o d e l	6
115	TUTT R2	III_37_0031	Kaltbrunn, Kaltbrunn	9.07201, 47.73526	stecknodla	s t e ck n o d l a	stecknodel	s t e ck n o d e l	2
116	TUTT K12	III_36_0058	Langenrain, Langenrain	9.07596, 47.76281	stecknådel	s t e ck n å d e l	stecknodel	s t e ck n o d e l	1
117	TUTT K3	III_36_0066	Bonndorf, Bonndorf	9.09477, 47.82968	stecknoͣdel	s t e ck n o ͣ d e l	stecknodel	s t e ck n o d e l	1
118	MH T10	II_60_0078	Obrigheim, Obrigheim	9.09608, 49.35186	stecknodl	s t e ck n o d l	stecknadel	s t e ck n a d e l	2
119	KST g1	III_18_0064	Hochhausen, Hochhausen	9.1008, 49.323	stecknōdl	s t e ck n ō d l	stecknadel	s t e ck n a d e l	2
120	TUTT R1	III_37_0036	Dettingen, Dettingen	9.117, 47.73485	stecknodl	s t e ck n o d l	stecknodel	s t e ck n o d e l	1
121	TUTT K2	III_36_0065	Nesselwangen, Nesselwangen	9.11824, 47.81683	stecknodel	s t e ck n o d e l	stecknodl	s t e ck n o d l	1
122	TUTT v8	III_34_0060	Rast, Rast	9.12126, 47.93997	stecknådel	s t e ck n å d e l	stecknodle	s t e ck n o d l e	3
123	MH C2	II_58_0104	Reisenbach, Reisenbach	9.12415, 49.50336	sticknōdl	s t i ck n ō d l	schdeggnodel	sch d e gg n o d e l	8
124	MH L5	II_59_0108	Fahrenbach, Fahrenbach	9.14987, 49.43091	stecknōdel	s t e ck n ō d e l	stecknodel	s t e ck n o d e l	1
125	MH C3	II_58_0110	Scheidental, Scheidental	9.15106, 49.50744	stecknå̠del	s t e ck n å ̠ d e l	schdegnodel	sch d e g n o d e l	7
