	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
680	KST k2	III_19_0007, III_19_0004, III_19_0005	Philippsburg, Philippsburg	8.45298, 49.235	kluf	k l u f	kluv	k l u v	1
681	KST k2	III_19_0007, III_19_0004, III_19_0005	Philippsburg, Philippsburg	8.45298, 49.235	kluf	k l u f	glufe	g l u f e	2
682	TUTT k1	III_33_0072, III_33_0070	Vilingen, Villingen	8.45901, 48.0567	glūf	g l ū f	gluuv	g l uu v	3
683	TUTT k1	III_33_0072, III_33_0070	Vilingen, Villingen	8.45901, 48.0567	glūf	g l ū f	kluf	k l u f	2
684	TÜB U2	III_31_0007, III_31_0005, III_31_0006	Weiler/Villingen, Tennenbronn	8.46043, 48.17227	glūf	g l ū f	gufe	g u f e	3
685	TÜB U2	III_31_0007, III_31_0005, III_31_0006	Weiler/Villingen, Tennenbronn	8.46043, 48.17227	glūf	g l ū f	guf	g u f	2
686	TUTT r7	III_34_0016, III_34_0015, III_34_0120	Hüfingen, Hüfingen	8.48886, 47.92431	glufe	g l u f e	gluve	g l u v e	1
687	TUTT r8	III_34_0008, III_34_0011, III_34_0009	Donaueschingen, Donaueschingen	8.50052, 47.95113	glufe	g l u f e	gluf	g l u f	1
688	TUTT r8	III_34_0008, III_34_0011, III_34_0009	Donaueschingen, Donaueschingen	8.50052, 47.95113	glufe	g l u f e	kluffe	k l u ff e	2
689	KST z8	III_21_0012, III_21_0011, III_21_0013, III_21_0010, III_21_0009	Weingarten, Weingarten	8.53114, 49.0533	gluf	g l u f	kluve	k l u v e	3
690	KST z8	III_21_0012, III_21_0011, III_21_0013, III_21_0010, III_21_0009	Weingarten, Weingarten	8.53114, 49.0533	gluf	g l u f	gluve	g l u v e	2
691	KST z8	III_21_0012, III_21_0011, III_21_0013, III_21_0010, III_21_0009	Weingarten, Weingarten	8.53114, 49.0533	gluf	g l u f	klufe	k l u f e	2
692	KST z8	III_21_0012, III_21_0011, III_21_0013, III_21_0010, III_21_0009	Weingarten, Weingarten	8.53114, 49.0533	gluf	g l u f	kluf	k l u f	1
693	KST s2, KST s11	III_20_0019, III_20_0018	Bruchsal , Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	glufte	g l u f t e	kluuf	k l uu f	4
694	KST s2, KST s11	III_20_0019, III_20_0018	Bruchsal , Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	glufte	g l u f t e	gluve	g l u v e	2
695	KST s2, KST s11	III_20_0019, III_20_0018	Bruchsal , Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	kluf	k l u f	kluuf	k l uu f	1
696	KST s2, KST s11	III_20_0019, III_20_0018	Bruchsal , Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	kluf	k l u f	gluve	g l u v e	3
697	KST G8	III_22_0024, III_22_0018, III_22_0020	Königsbach, Stein, Königsbach	8.61207, 48.96515	gluf	g l u f	gluv	g l u v	1
698	KST G8	III_22_0024, III_22_0018, III_22_0020	Königsbach, Stein, Königsbach	8.61207, 48.96515	gluf	g l u f	kluf	k l u f	1
699	KST l4	III_19_0018, III_19_0017, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	kluf	k l u f	glūf	g l ū f	2
700	KST l4	III_19_0018, III_19_0017, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	kluf	k l u f	gluv	g l u v	2
701	KST l4	III_19_0018, III_19_0017, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	kluf	k l u f	klufe	k l u f e	1
702	KST P1	III_22_0027, III_22_0026	Ispringen , Ispringen	8.66764, 48.91655	kluf	k l u f	klufe	k l u f e	1
703	KST P2	III_23_0032, III_23_0029, III_23_0030, III_23_0031	Brötzingen, Pforzheim-Brötzingen	8.66799, 48.889	gluve	g l u v e	kluv	k l u v	2
704	KST P2	III_23_0032, III_23_0029, III_23_0030, III_23_0031	Brötzingen, Pforzheim-Brötzingen	8.66799, 48.889	gluve	g l u v e	gluf	g l u f	2
705	KST P2	III_23_0032, III_23_0029, III_23_0030, III_23_0031	Brötzingen, Pforzheim-Brötzingen	8.66799, 48.889	gluve	g l u v e	gluv	g l u v	1
706	KST P2	III_23_0032, III_23_0029, III_23_0030, III_23_0031	Brötzingen, Pforzheim-Brötzingen	8.66799, 48.889	gluve	g l u v e	gluuf	g l uu f	2
707	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	glūf	g l ū f	kluv	k l u v	3
708	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	glūf	g l ū f	gluv	g l u v	2
709	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	glūf	g l ū f	gluf	g l u f	1
710	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	glūf	g l ū f	klufe	k l u f e	3
711	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	glūf	g l ū f	gluff	g l u ff	2
712	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	glūf	g l ū f	glufe	g l u f e	2
713	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	glūf	g l ū f	kluf	k l u f	2
714	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	gluff	g l u ff	kluv	k l u v	3
715	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	gluff	g l u ff	gluv	g l u v	2
716	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	gluff	g l u ff	gluf	g l u f	1
717	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	gluff	g l u ff	klufe	k l u f e	2
718	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	gluff	g l u ff	glufe	g l u f e	1
719	KST P3/4, KST P3/3, KST P3/2	III_23_0043, III_23_0051, III_23_0039, III_23_0046, III_23_0050, III_23_0052, III_23_0054, III_23_0042, III_23_0038, III_23_0053, III_23_0045, III_23_0041, III_23_0047, III_23_0044, III_23_0048	Pforzheim, Pforzheim	8.70025, 48.89013	gluff	g l u ff	kluf	k l u f	2
720	KST A5	III_21_0027, III_21_0026	Bretten, Bretten	8.70657, 49.03456	kluve	k l u v e	glufe	g l u f e	2
721	KST A5	III_21_0027, III_21_0026	Bretten, Bretten	8.70657, 49.03456	kluve	k l u v e	klufe	k l u f e	1
722	KST m5	III_19_0032, III_19_0031, III_19_0030	Michelfeld, Michelfeld	8.7808, 49.22723	klufter	k l u f t e r	gluufde	g l uu f d e	4
723	KST m5	III_19_0032, III_19_0031, III_19_0030	Michelfeld, Michelfeld	8.7808, 49.22723	klufter	k l u f t e r	klufte	k l u f t e	1
724	KST n12	III_19_0038, III_19_0039, III_19_0040	Hilsbach, Hilsbach	8.86227, 49.1957	klufte	k l u f t e	klufter	k l u f t e r	1
725	KST f8	III_18_0048, III_18_0047	Sinsheim, Sinsheim	8.87357, 49.25387	klufern	k l u f e r n	klufte	k l u f t e	3
726	KST f8	III_18_0048, III_18_0047	Sinsheim, Sinsheim	8.87357, 49.25387	klufern	k l u f e r n	kluufde	k l uu f d e	4
727	KST f8	III_18_0048, III_18_0047	Sinsheim, Sinsheim	8.87357, 49.25387	klufern	k l u f e r n	klufe	k l u f e	2
728	KST n2	III_19_0044	Steinsfurt, Steinsfurt	8.90861, 49.24023	glufte	g l u f t e	gluve	g l u v e	2
729	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	glufe	g l u f e	klufa	k l u f a	2
730	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	glufe	g l u f e	gluva	g l u v a	2
731	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	glufe	g l u f e	glufa	g l u f a	1
732	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	glufe	g l u f e	kluve	k l u v e	2
733	KST n8	III_19_0047	Richen, Richen	8.94083, 49.17134	klufe	k l u f e	gluvä	g l u v ä	3
734	KST n8	III_19_0047	Richen, Richen	8.94083, 49.17134	klufe	k l u f e	kluvä	k l u v ä	2
735	KST u1	III_20_0053, III_20_0056, III_20_0054, III_20_0055	Gemmingen, Gemmingen	8.98358, 49.15633	glufa	g l u f a	klufe	k l u f e	2
736	KST u1	III_20_0053, III_20_0056, III_20_0054, III_20_0055	Gemmingen, Gemmingen	8.98358, 49.15633	glufa	g l u f a	gluve	g l u v e	2
737	KST u1	III_20_0053, III_20_0056, III_20_0054, III_20_0055	Gemmingen, Gemmingen	8.98358, 49.15633	glufa	g l u f a	glufe	g l u f e	1
738	TUTT K11	III_36_0060, III_36_0063, III_36_0064	Sipplingen, Sipplingen	9.09665, 47.79525	gluff	g l u ff	gluf	g l u f	1
739	MH T11	II_60_0079	Diedesheim, Diedesheim	9.11367, 49.34933	klufte	k l u f t e	klufe	k l u f e	1
740	TUTT v10	III_34_0058, III_34_0057	Messkirch, Messkirch	9.11537, 47.99484	glūf	g l ū f	gluf	g l u f	1
741	TUTT v10	III_34_0058, III_34_0057	Messkirch, Messkirch	9.11537, 47.99484	glūf	g l ū f	kluf	k l u f	2
742	SIG g2/1	III_34_0065, III_34_0063	Pfullendorf, Pfullendorf	9.25466, 47.92614	gluf	g l u f	glufe	g l u f e	1
743	STU u1	III_26_0090	Nürtingen, Nürtingen	9.34192, 48.62663	gluf	g l u f	kluf	k l u f	1
