	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
499	SIG r1	III_36_0092	Mittelstenweiler, Mittelstenweiler	9.33753, 47.75241	hagebutze	h a g e b u tz e	haggebutze	h a gg e b u tz e	1
500	SIG r7	III_37_0051	Ittendorf, Ittendorf	9.34074, 47.70119	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
501	STU u1	III_26_0090	Nürtingen, Nürtingen	9.34192, 48.62663	hagabutz	h a g a b u tz	hagabutza	h a g a b u tz a	1
502	SIG r2	III_37_0050	Bermatingen, Bermatingen	9.34868, 47.73084	hagebutze	h a g e b u tz e	hagĕbutzĕ	h a g ĕ b u tz ĕ	2
503	MH N1	II_92_0002	Eberstadt, Eberstadt	9.3666, 49.47727	hachaboutta	h a ch a b o u tt a	hachabutze	h a ch a b u tz e	3
504	SIG u1	III_38_0026	Immenstaad, Immenstaad	9.3675, 47.66625	hagebutzä	h a g e b u tz ä	hagebutze	h a g e b u tz e	1
505	MH N2	II_92_0003	Schlierstadt, Schlierstadt	9.36816, 49.45257	håchelbutze	h å ch e l b u tz e	hoͣchebudde	h o ͣ ch e b u dd e	5
506	MH V2	II_93_0002	Sennfeld, Sennfeld	9.38438, 49.38045	hachebudze	h a ch e b u d z e	hachebudde	h a ch e b u dd e	1
507	SIG o2	III_36_0089	Deggenhausen, Deggenhausen	9.3844, 47.80143	hagebutze	h a g e b u tz e	hagebuzze	h a g e b u zz e	1
508	SIG r3	III_37_0052, III_37_0054, III_37_0053, III_37_0055	Markdorf, Markdorf	9.38933, 47.72088	hagebutz	h a g e b u tz	hagebutze	h a g e b u tz e	1
509	MH N8	II_92_0001	Götzingen, Götzingen	9.39465, 49.49693	hågebutte	h å g e b u tt e	hāchebutte	h ā ch e b u tt e	3
510	MH V5	II_93_0004	Korb, Korb	9.39732, 49.35594	hachebutze	h a ch e b u tz e	hagebutze	h a g e b u tz e	2
511	SIG r4	III_37_0057	Riedheim, Riedheim	9.41014, 47.70429	hagebutza	h a g e b u tz a	hagebutze	h a g e b u tz e	1
512	MH N11	II_92_0005	Bofsheim, Bofsheim	9.41226, 49.4714	hachebudde	h a ch e b u dd e	hachelbudde	h a ch e l b u dd e	1
513	SIG o4	III_36_0094	Limpach, Limpach	9.42902, 47.79495	hagebutze	h a g e b u tz e	hagebtze	h a g e b tz e	1
514	SIG o6	III_36_0096	Urnau, Urnau	9.43083, 47.76354	hagebutze	h a g e b u tz e	haggebutze	h a gg e b u tz e	1
515	MH V4	II_93_0006	Unterkessach, Unterkessach	9.43829, 49.34571	hachebutze	h a ch e b u tz e	hagebutze	h a g e b u tz e	2
516	MH E4	II_91_0003	Altheim, Altheim	9.4436, 49.51915	hachebutte	h a ch e b u tt e	haachebutte	h aa ch e b u t t e	1
517	MH N7	II_92_0009	Sindolsheim, Sindolsheim	9.45384, 49.48715	hachebutte	h a ch e b u tt e	hachebudde	h a ch e b u dd e	2
518	MH N9	II_92_0008	Rosenberg, Rosenberg	9.4752, 49.45583	håchebudde	h å ch e b u dd e	hachebudde	h a ch e b u dd e	1
519	MH N6	II_92_0133	Bronnacker, Bronnacker	9.48305, 49.4446	hachebudde	h a ch e b u dd e	hachebutze	h a ch e b u tz e	2
520	STU u2	III_26_0084	Bissingen/Teck, Bissingen-Teck	9.49128, 48.60024	hagabutza	h a g a b u tz a	hagebutze	h a g e b u tz e	2
521	MH W11	II_93_0010	Merchingen, Merchingen	9.50633, 49.4003	hachebutze	h a ch e b u tz e	hachebutte	h a ch e b u tt e	1
522	MH O1	II_92_0010	Hohenstadt, Hohenstadt	9.51685, 49.49168	hachebutte	h a ch e b u tt e	hachebudde	h a ch e b u dd e	2
523	MH W3	II_93_0012	Erlenbach, Erlenbach	9.5514, 49.38553	haihebutze	h a i h e b u tz e	hachebutte	h a ch e b u tt e	2
524	MH g1	II_88_0024	Dertingen über Wertheim a.M., Dertingen	9.61957, 49.7665	håchabutta	h å ch a b u tt a	ha͞ochăbuddă	h a ͞ o ch ă b u dd ă	7
525	STU k1	III_24_0105	Wäschenbeuren, Wäschenbeuren	9.68695, 48.75984	hagabutta	h a g a b u tt a	hagêbuttê	h a g ê b u tt ê	2
526	MH y1	II_89_0036	Großrinderfeld, Grossrinderfeld	9.73405, 49.66558	haochebutte	h a o ch e b u tt e	hoachebutte	h o a ch e b u tt e	2
527	Co W 10	III_16_0072, III_16_0073	Binzen, Binzen, Märkt	7.62403, 47.63133	hagabutta	h a g a b u tt a	hagebutti	h a g e b u tt i	2
528	Co W 10	III_16_0072, III_16_0073	Binzen, Binzen, Märkt	7.62403, 47.63133	hagabutta	h a g a b u tt a	hagebutta	h a g e b u tt a	1
529	Co W 10	III_16_0072, III_16_0073	Binzen, Binzen, Märkt	7.62403, 47.63133	hagabutta	h a g a b u tt a	hangabutte	h a n g a b u tt e	2
530	Co W 19 , Co W 20	III_16_0079, III_16_0082, III_16_0083	Lörrach, Lörrach , Lörrach, Lörrach <Adolf Hitler Schule>	7.66409, 47.61258	hagebutte	h a g e b u tt e	hagebuttä	h a g e b u tt ä	1
531	Co W 19 , Co W 20	III_16_0079, III_16_0082, III_16_0083	Lörrach, Lörrach , Lörrach, Lörrach <Adolf Hitler Schule>	7.66409, 47.61258	hagebutte	h a g e b u tt e	hagebudde	h a g e b u dd e	2
532	Co W 19 , Co W 20	III_16_0079, III_16_0082, III_16_0083	Lörrach, Lörrach , Lörrach, Lörrach <Adolf Hitler Schule>	7.66409, 47.61258	hagebuttä	h a g e b u tt ä	hagebudde	h a g e b u dd e	3
533	Co B1	III_14_0051, III_14_0050	Tunsel, Tunsel	7.66581, 47.90315	hagabutte	h a g a b u tt e	hagebutta	h a g e b u tt a	2
534	Co B1	III_14_0051, III_14_0050	Tunsel, Tunsel	7.66581, 47.90315	hagabutte	h a g a b u tt e	hagabuttä	h a g a b u tt ä	1
535	Co B11	III_14_0052, III_14_0053	Bad Krozingen, Bad Krozingen	7.70333, 47.91813	hāgebutte	h ā g e b u tt e	hagebutze	h a g e b u tz e	2
536	Co B11	III_14_0052, III_14_0053	Bad Krozingen, Bad Krozingen	7.70333, 47.91813	hāgebutze	h ā g e b u tz e	hagebutze	h a g e b u tz e	1
537	Stra R 11	III_11_0111, III_11_0110	Kappel a. Rh., Kappel a. Rh., Grafenhausen	7.74182, 48.29235	hagäbudä	h a g ä b u d ä	hagebutte	h a g e b u tt e	4
538	Stra R 11	III_11_0111, III_11_0110	Kappel a. Rh., Kappel a. Rh., Grafenhausen	7.74182, 48.29235	hagäbudä	h a g ä b u d ä	hagabutta	h a g a b u tt a	4
539	Stra Y 8	III_12_0038, III_12_0039, III_12_0037	Herbolzheim a. d. Bleich, Herbolzheim	7.77743, 48.22249	hagebutte	h a g e b u tt e	hagebuttr	h a g e b u tt r	1
540	Co Xa 3	III_17_0045, III_17_0044, III_17_0046	Rheinfelden-Stadt (Baden), Rheinfelden	7.78875, 47.55945	hagebutte	h a g e b u tt e	hagäbutze	h a g ä b u tz e	2
