	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
1506	MH o2	II_89_0006	Wessental	9.41215	49.73004	stecknodel	na	999	527.7358915701176	schteknodel	na	999	529.1860287263053	Stecknadel	na	999	529.091394870162
1507	MH o3	II_89_0012	Sonderriet	9.43938	49.71753	stechädele	stecknadel  	4	1.3346280430232536	schtechnädele	schteknodel	4	1.5256527125080737	Stecknadele	Stecknadel	1	0.046871200937531186
1508	MH o4	II_89_0014	Hundheim	9.46691	49.69109	nādel	stecknodel	6	2.3927210350375137	nadel	schteknodel	7	3.116588519584849	Nadel	Stecknadel	6	2.697394866615009
1509	MH o5	II_89_0009, II_89_0010, II_89_0011	Sachsenhausen	9.49147	49.73223	stecknådl	stecknödele, stecknödala, stecknödele	3	0.8055815470161238	schteknådl	schteknödele, schteknödela, schteknödele	3	0.9953407768158152	Stecknadel	Stecknadele, Stecknadele, Stecknadele	1	0.046871200937531186
1510	MH o6	II_89_0008	Vockenrot	9.48521	49.74816	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1511	MH o7	II_89_0007	Nassig	9.45146	49.73582	stecknödele	stecknodel	2	0.27653505100899384	schteknödele	schteknodel	2	0.4650288411235568	Stecknadele	Stecknadel	1	0.046871200937531186
1512	MH o8/1, MH o8/2	II_89_0005	Ebenheid, Ebenheid	9.36095	49.7158	stecknadel, schdecknōdel	stecknod̄el	2	0.27653505100899384	schteknadel, schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel, Stecknadel	Stecknadel	0	-0.48323353219796433
1513	MH p1	II_89_0018	Waldenhausen	9.52298	49.74357	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1514	MH p2	II_89_0022	Reicholzheim	9.53393	49.72663	stecknådel	stecknadel	1	-0.25251144499813616	schteknådel	schteknadel	1	-0.06528309456870167	Stecknadel	Stecknadel	0	-0.48323353219796433
1515	MH p3	II_89_0023	Bronnbach	9.54654	49.71348	stecknödele	stecknodel	2	0.27653505100899384	schteknödele	schteknodel	2	0.4650288411235568	Stecknadele	Stecknadel	1	0.046871200937531186
