	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
2280	TUTT R5	na	Hegne	9.09929	47.7097	pflumme	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2281	TUTT R6	III_37_0038, III_37_0039, III_37_0040	Reichenau	9.06125	47.69789	pfumme	pflumm, kriech, kriche	2	0.27653505100899384	pflume	pflum, griech, griche	1	-0.06528309456870167	Pflaume	Pflaume, Grieche, Grieche	0	-0.48323353219796433
2282	TUTT R7	III_37_0037	Dingelsdorf	9.15648	47.7384	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2283	TUTT S2	III_16_0126	Segeten	8.02357	47.65954	pfluma	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2284	TUTT S3	III_15_0087	Herrischried	8.00161	47.66587	pfluhme	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2285	TUTT S4	III_16_0127	Hogschür	8.01475	47.64742	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2286	TUTT S5, TUTT Sa8	III_17_0060	Luttingen, Luttingen und Grunholz	8.09878	47.57252	pflūmå, pflume	pfluhme	1	-0.25251144499813616	pflume, pflume	pflume	0	-0.5955950302609602	Pflaume, Pflaume	Pflaume	0	-0.48323353219796433
2287	TUTT S6	III_16_0129, III_16_0130	Oberwihl	8.04597	47.62098	pflūme	pflume, pflume	1	-0.25251144499813616	pflume	pflume, pflume	0	-0.5955950302609602	Pflaume	Pflaume, Pflaume	0	-0.48323353219796433
2288	TUTT S7	III_16_0131	Niederwihl	8.07095	47.61851	pflume	pflume  	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2289	TUTT S8	III_16_0132	Rüsswihl	8.07093	47.63063	pfume	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2290	TUTT S9	III_16_0134	Görwihl	8.07817	47.64186	pflume	pflume 	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2291	TUTT S10	III_15_0096	Rotzingen	8.0762	47.66588	pflůma	pflŭme	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2292	TUTT S11	III_16_0136	Oberalpfen	8.15262	47.65791	pflūme	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2293	TUTT S12	III_16_0135	Unteralpfen	8.13573	47.64543	pflūme	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2294	TUTT S13	III_16_0169	Birkingen	8.1477	47.62511	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2295	TUTT S14	III_16_0143	Birndorf	8.13384	47.62519	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2296	TUTT S15	III_16_0142	Buch über Waldshut	8.11336	47.61399	pflumeä	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2297	TUTT S16	III_16_0145	Albruck-Kiesenbach	8.14411	47.60046	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2298	TUTT S17	III_16_0146	Albert	8.11012	47.58535	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2299	TUTT S18	III_16_0140	Hochsal	8.08003	47.5887	pfluma	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2300	TUTT S19	III_16_0139	Rotzel	8.06151	47.59473	pfluume	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2301	TUTT S20	III_16_0138	Hänner	8.03004	47.59489	pflūme	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2302	TUTT S21	III_16_0141	Schachen	8.09406	47.60368	pflūmä	pflume	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2303	TUTT Sa1	III_17_0056	Rippolingen und Harpolingen	8.00062	47.57274	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2304	TUTT Sa1/2	III_17_0057	Rippolingen und Harpolingen	7.9892	47.57843	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2305	TUTT Sa3	III_17_0058	Murg	8.02352	47.55376	pflume	pfluume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2306	TUTT Sa4	III_17_0059	Niederhof	8.03951	47.56938	pflūme	pfluume	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2307	TUTT Sa5	III_16_0137	Oberhof	8.0324	47.58493	pfluume	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2308	TUTT Sa6	III_17_0062	Binzgen	8.06143	47.57622	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2309	TUTT Sa7	III_17_0061	Laufenburg (Baden)	8.0908	47.58055	pflume	pflume	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2310	TUTT T1	III_16_0161	Weilheim	8.24051	47.65862	pflume	pfluume, zwetschge	1	-0.25251144499813616	pflume	pflume, zwetschge	0	-0.5955950302609602	Pflaume	Pflaume, Zwetschge	0	-0.48323353219796433
2311	TUTT T2	III_16_0160	Indlekofen	8.22113	47.65889	eierpflume	pfluume	5	1.8636745390303837	eierpflume	pflume	4	1.5256527125080737	Eierpflaume	Pflaume	5	2.1672901334795136
2312	TUTT T3	III_16_0159	Schmitzingen	8.19315	47.65491	pflumme	pfluhmə	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2313	TUTT T4	III_16_0147	Waldkirch	8.17132	47.65851	pflumme	pfluhmə	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2314	TUTT T5	III_16_0158	Eschbach	8.18086	47.6336	pflūme	pfluume̍	3	0.8055815470161238	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2315	TUTT T6	III_16_0157	Dogern	8.17239	47.60884	pflūme	pfluuma	3	0.8055815470161238	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2316	TUTT T7	III_16_0148, III_16_0149, III_16_0150, III_16_0151, III_16_0152, III_16_0153	Waldshut	8.21445	47.6237	pflume	na, na, na, na, pfluume, na	1	-0.25251144499813616	pflume	na, na, na, na, pflume, na	0	-0.5955950302609602	Pflaume	na, na, na, na, Pflaume, na	0	-0.48323353219796433
