	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
1081	Stra m 14	III_9_0021	Scharrachbergheim	7.49581	48.593	kasozl	kaseozl	1	-0.25251144499813616	kasatsel	kaseatsel	1	-0.06528309456870167	Kasatzel	Kasatzel	0	-0.48323353219796433
1082	Stra m 15	III_9_0019	Tränheim	7.46472	48.59545	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1083	Stra m 16	III_9_0008	Allenweiler	7.37795	48.65555	azel	käsatzel	4	1.3346280430232536	atsel	käsatsel	3	0.9953407768158152	Atzel	Kasatzel	4	1.6371854003440178
1084	Stra m 17	III_8_0043	Hengweiler	7.33273	48.66842	atzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
1085	Stra m 18	III_9_0012	Koßweiler (Cosswiller)	7.39912	48.63165	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1086	Stra m 19	III_9_0022	Westhofen	7.44341	48.60424	åtzel	azel	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1087	Stra n 1	III_9_0037	Winzenheim (Wintzenheim-Kochersberg)	7.51469	48.65916	åtzel	åtzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1088	Stra n 2	na	Ittlenheim	7.54562	48.65481	atzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
1089	Stra n 4	na	Neugartheim und Ittlenheim 	7.54562	48.6548	kasatzel	na	999	527.7358915701176	kasatsel	na	999	529.1860287263053	Kasatzel	na	999	529.091394870162
1090	Stra n 5	III_9_0029	Truchtersheim	7.60723	48.66319	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1091	Stra n 6	III_9_0030	Pfettisheim	7.64331	48.66042	na	atzel	999	527.7358915701176	na	atsel	999	529.1860287263053	na	Atzel	999	529.091394870162
1092	Stra n 7	III_9_0034	Wiwersheim	7.60738	48.63994	elster	atzel	5	1.8636745390303837	elschter	atsel	6	2.5862765838925905	Elster	Atzel	5	2.1672901334795136
1093	Stra n 8	III_9_0032, III_9_0033	Offenheim	7.61838	48.63195	atzel	atzel, atzel	0	-0.7815579410052661	atsel	atsel, atsel	0	-0.5955950302609602	Atzel	Atzel, Atzel	0	-0.48323353219796433
1094	Stra n 9	na	Stutzheim-Offenheim	7.62623	48.6279	atzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
1095	Stra n 10	III_9_0024	Küttolsheim	7.52543	48.64343	åtzel	antzel	2	0.27653505100899384	atsel	antsel	1	-0.06528309456870167	Atzel	Atzel	0	-0.48323353219796433
1096	Stra n 11	III_9_0038	Nordheim	7.51005	48.63544	åtzel	atzl	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1097	Stra n 12	na	Fessenheim (Fessenheim-le-Bas)	7.5391	48.63315	åtzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
1098	Stra n 13	na	Dossenheim-Kochersberg	7.57335	48.63816	åtzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
1099	Stra n 14	III_9_0035, III_9_0036	Quatzenheim	7.57372	48.62636	åtzl	åtzel, atzel	1	-0.25251144499813616	atsel	atsel, atsel	0	-0.5955950302609602	Atzel	Atzel, Atzel	0	-0.48323353219796433
1100	Stra n 15	III_9_0040	Hürtigheim	7.59369	48.6152	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1101	Stra n 16, Stra u 2/2	III_9_0042	Fürdenheim, Fürdenheim	7.56378	48.61325	åtzel, käså̄tzel	atzel	1	-0.25251144499813616	atsel, käsatsel	atsel	0	-0.5955950302609602	Atzel, Kasatzel	Atzel	0	-0.48323353219796433
1102	Stra n 17, Stra n 18	III_9_0031	Ittenheim, Ittenheim	7.59542	48.60404	adsel, åtzel	adsel	0	-0.7815579410052661	atsel, atsel	atsel	0	-0.5955950302609602	Atzel, Atzel	Atzel	0	-0.48323353219796433
1103	Stra n 19	na	Kleinfrankenheim	7.58074	48.66169	atzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
1104	Stra o 1	III_9_0055	Wanzenau	7.82574	48.65926	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1105	Stra o 2	III_9_0054	Reichstett	7.75359	48.6483	azel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1106	Stra o 3	III_9_0076	Mundolsheim	7.71544	48.64179	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1107	Stra o 4	III_9_0075	Lamgertheim	7.70087	48.65016	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1108	Stra o 5	III_9_0044	Pfulgriesheim	7.67069	48.64279	kasatzel	kasatzel	0	-0.7815579410052661	kasatsel	kasatsel	0	-0.5955950302609602	Kasatzel	Kasatzel	0	-0.48323353219796433
1109	Stra o 6, 7	III_9_0043	Dingsheim, Griesheim	7.66779	48.62966	ātzel	elster	5	1.8636745390303837	atsel	elschter	6	2.5862765838925905	Atzel	Elster	5	2.1672901334795136
1110	Stra o 8	III_9_0053	Suffelweyersheim	7.74147	48.6355	na	aotzel	999	527.7358915701176	na	atsel	999	529.1860287263053	na	Atzel	999	529.091394870162
1111	Stra o 9	III_9_0047	Niederhausbergen	7.70033	48.62313	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1112	Stra o 10	III_9_0046	Mittelhausbergen	7.69275	48.61406	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1113	Stra o 11	III_9_0057, III_9_0058, III_9_0059, III_9_0060, III_9_0061, III_9_0062, III_9_0063, III_9_0064, III_9_0065, III_9_0066, III_9_0067, III_9_0068, III_9_0069, III_9_0070, III_9_0071, III_9_0072, III_9_0073, III_9_0074	Straßburg	7.73609	48.58523	åtzel	atsel, atzel, atzel, atzel, ãtzel, atzel, atzel, besenstiel, atzel, käsatzel, atzel, atzel, atzel, atzel, käsâtzel, atzel, atzel, atzel, atzel, atzel	1	-0.25251144499813616	atsel	atsel, atsel, atsel, atsel, atsel, atsel, atsel, besenstiel, atsel, käsatsel, atsel, atsel, atsel, atsel, käsatsel, atsel, atsel, atsel, atsel, atsel	0	-0.5955950302609602	Atzel	Atzel, Atzel, Atzel, Atzel, Atzel, Atzel, Atzel, Besenstiel, Atzel, Kasatzel, Atzel, Atzel, Atzel, Atzel, Kasatzel, Atzel, Atzel, Atzel, Atzel, Atzel	0	-0.48323353219796433
1114	Stra o 12	III_9_0048	Kronenburg (Cronenbourg)	7.73212	48.59535	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1115	Stra o 13	III_9_0049	Schiltigheim	7.74856	48.60595	åtzl	elster, atzel	2	0.27653505100899384	atsel	elschter, atsel	0	-0.5955950302609602	Atzel	Elster, Atzel	0	-0.48323353219796433
1116	Stra o 14	III_9_0050, III_9_0051	Straßburg-Bischheim	7.75254	48.61483	ådzl	atzel, elschder	3	0.8055815470161238	atsel	atsel, elschter	0	-0.5955950302609602	Atzel	Atzel, Elster	0	-0.48323353219796433
1117	Stra o 15	III_9_0052	Hönheim	7.75526	48.62105	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1118	Stra o 16	III_9_0045	Straßburg-Oberhausbergen	7.68507	48.60569	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1119	Stra o 17	III_9_0056	Straßburg-Ruprechtsau	7.80059	48.61004	åtzel	atzel	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1120	Stra p 1	III_9_0085	Rheinbischofsheim	7.92904	48.65493	atzel	adsl, atzl	1	-0.25251144499813616	atsel	atsel, atsel	0	-0.5955950302609602	Atzel	Atzel, Atzel	0	-0.48323353219796433
1121	Stra p 2/1, Stra p 2/2	III_9_0084	Diersheim, Diersheim, Diersheim	7.8874	48.64789	atzl, dreckvojl, na	atzel	1	-0.25251144499813616	atsel, dreckvojel, na	atsel	0	-0.5955950302609602	Atzel, Dreckvogel, na	Atzel	0	-0.48323353219796433
1122	Stra p 3	III_9_0078	Honau	7.87132	48.64025	atzel	adsl	3	0.8055815470161238	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1123	Stra p 4	III_9_0077	Leutesheim	7.85613	48.62423	atzel	atzl	1	-0.25251144499813616	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1124	Stra p 5	III_9_0082	Linx	7.89706	48.62687	atzel	atzel	0	-0.7815579410052661	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
1125	Stra p 6	III_9_0083	Holzhausen	7.92018	48.62595	åzel	azl	2	0.27653505100899384	atsel	atsel	0	-0.5955950302609602	Atzel	Atzel	0	-0.48323353219796433
