	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
15	Co R14	III_15_0086	Rütte (bei Todtmoos; es gibt auch noch eines bei Herreschrie und eines bei Todtnauberg), Rütte	8.01336, 47.76141	bärhamsele	b ä r h a m s e l e	bäramseli	b ä r a m s e l i	2
16	TUTT S4	III_16_0127	Hogschür, Hogschür	8.01475, 47.64742	bäramsle	b ä r a m s l e	bäramsele	b ä r a m s e l e	1
17	TUTT S2	III_16_0126	Segeten, Segeten	8.02357, 47.65954	bäramsla	b ä r a m s l a	baramsele	b a r a m s e l e	3
18	TUTT S20	III_16_0138	Hänner, Hänner	8.03004, 47.59489	bäramsele	b ä r a m s e l e	bäramsel	b ä r a m s e l	1
19	TUTT Sa5	III_16_0137	Oberhof, Oberhof	8.0324, 47.58493	bäramsle	b ä r a m s l e	bäramsel	b ä r a m s e l	2
20	TUTT Sa4	III_17_0059	Niederhof, Niederhof	8.03951, 47.56938	beeramsle	b ee r a m s l e	bäramsele	b ä r a m s e l e	3
21	TUTT S6	III_16_0129, III_16_0130	Oberwihl, Oberwihl	8.04597, 47.62098	bärhamsle	b ä r h a m s l e	bäramsle	b ä r a m s l e	1
22	TUTT L/S7, TUTT S1	III_15_0093, III_15_0095	Strittmatt, Strittmatt und Engelschwand, Strittmatt, Engelschwand	8.04718, 47.66382	bäramsele	b ä r a m s e l e	bäramsela	b ä r a m s e l a	1
23	TUTT Sa6	III_17_0062	Binzgen, Binzgen	8.06143, 47.57622	beramsle	b e r a m s l e	bäramsel	b ä r a m s e l	3
24	TUTT S19	III_16_0139	Rotzel, Rotzel	8.06151, 47.59473	bārammsle	b ā r a mm s l e	bäramsel	b ä r a m s e l	4
25	TUTT L8	III_15_0097	Hartschwand, Hartschwand	8.0655, 47.67119	bärhamsla	b ä r h a m s l a	bäramsel	b ä r a m s e l	3
26	TUTT S7	III_16_0131	Niederwihl, Niederwihl	8.07095, 47.61851	bärhamsle	b ä r h a m s l e	bäramsle	b ä r a m s l e	1
27	TUTT S10	III_15_0096	Rotzingen, Rotzingen	8.0762, 47.66588	bäromsla	b ä r o m s l a	bãramsel	b ã r a m s e l	4
28	TUTT S9	III_16_0134	Görwihl, Görwihl	8.07817, 47.64186	bāråmsele	b ā r å m s e l e	bäramselen	b ä r a m s e l e n	3
29	TUTT S18	III_16_0140	Hochsal, Hochsal	8.08003, 47.5887	bäramsele	b ä r a m s e l e	bäramsel	b ä r a m s e l	1
30	TUTT Sa7	III_17_0061	Laufenburg (Baden), Laufenburg	8.0908, 47.58055	bäramsele	b ä r a m s e l e	be̠ramsle	b e ̠ r a m s l e	3
31	TUTT L/8,9	III_15_0098, III_15_0099	Hierbach - Wilfingen, Hierbach, Wilfingen	8.09123, 47.686	bäromsle	b ä r o m s l e	boramsla	b o r a m s l a	3
32	TUTT S21	III_16_0141	Schachen, Schachen	8.09406, 47.60368	bäramsalä	b ä r a m s a l ä	bäramseln	b ä r a m s e l n	2
