	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1723	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	ameise	a m ei s e	3
1724	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	åmeis	å m ei s	2
1725	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	aomeise	a o m ei s e	3
1726	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	ȃmais	ȃ m a i s	1
1727	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	amais	a m a i s	1
1728	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	ameis	a m ei s	2
1729	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	õmais	õ m a i s	1
1730	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	omais	o m a i s	omeise	o m ei s e	2
1731	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	omeis	o m ei s	2
1732	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	ameise	a m ei s e	2
1733	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	åmeis	å m ei s	2
1734	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	aomeise	a o m ei s e	3
1735	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	ȃmais	ȃ m a i s	1
1736	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	ameis	a m ei s	1
1737	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	õmais	õ m a i s	1
1738	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	amais	a m a i s	omeise	o m ei s e	3
1739	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	omeis	o m ei s	1
1740	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	ameise	a m ei s e	2
1741	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	åmeis	å m ei s	1
1742	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	aomeise	a o m ei s e	3
1743	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	ȃmais	ȃ m a i s	2
1744	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	amais	a m a i s	2
1745	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	ameis	a m ei s	1
1746	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	õmais	õ m a i s	2
1747	KST P3/4, KST P3/3, KST P3/1, KST P3/2	III_23_0043, III_23_0046, III_23_0039, III_23_0050, III_23_0037, III_23_0052, III_23_0048, III_23_0054, III_23_0040, III_23_0038, III_23_0045, III_23_0053, III_23_0041, III_23_0049, III_23_0047, III_23_0044, III_23_0036	Pforzheim, Pforzheim	8.70025, 48.89013	āmeis	ā m ei s	omeise	o m ei s e	2
1748	KST e2/1, KST e2/2	III_18_0023, III_18_0036	Wiesloch, Wiesloch	8.70178, 49.29504	elmēs	e l m ē s	elmes	e l m e s	1
1749	KST e2/1, KST e2/2	III_18_0023, III_18_0036	Wiesloch, Wiesloch	8.70178, 49.29504	elmēs	e l m ē s	elmese	e l m e s e	2
1750	KST A5	III_21_0027, III_21_0025	Bretten, Bretten	8.70657, 49.03456	amaise	a m a i s e	omaise	o m a i s e	1
1751	KST A5	III_21_0027, III_21_0025	Bretten, Bretten	8.70657, 49.03456	amaise	a m a i s e	ämmense	ä mm e n s e	4
1752	KST m11	III_19_0025, III_19_0024, III_19_0026	Östringen, Östringen	8.7137, 49.22037	elmese	e l m e s e	elmeese	e l m ee s e	1
1753	KST m11	III_19_0025, III_19_0024, III_19_0026	Östringen, Östringen	8.7137, 49.22037	elmese	e l m e s e	elmees	e l m ee s	2
1754	KST m11	III_19_0025, III_19_0024, III_19_0026	Östringen, Östringen	8.7137, 49.22037	elmese	e l m e s e	elmes	e l m e s	1
1755	KST H2	III_22_0032, III_22_0031	Bauschlott, Bauschlott	8.72785, 48.97051	umais	u m a i s	umeis	u m ei s	1
1756	KST H2	III_22_0032, III_22_0031	Bauschlott, Bauschlott	8.72785, 48.97051	umais	u m a i s	umaise	u m a i s e	1
1757	TUTT t4	III_34_0040, III_34_0041, III_34_0039	Immendingen, Immendingen	8.73032, 47.95055	ammais	a mm a i s	ámeis	á m ei s	3
1758	TUTT t4	III_34_0040, III_34_0041, III_34_0039	Immendingen, Immendingen	8.73032, 47.95055	ammais	a mm a i s	ameis	a m ei s	2
1759	KST W1	III_24_0023	Schellbronn, Schellbronn	8.74222, 48.81738	amis	a m i s	omais	o m a i s	2
1760	KST W1	III_24_0023	Schellbronn, Schellbronn	8.74222, 48.81738	omeise	o m ei s e	omais	o m a i s	2
1761	KST m5	III_19_0032, III_19_0031, III_19_0030	Michelfeld, Michelfeld	8.7808, 49.22723	emense	e m e n s e	emenza	e m e n z a	2
1762	TUTT t6	III_34_0042	Hattingen, Hattingen	8.78447, 47.92082	umoase	u m o a s e	ämoaße	ä m o a ß e	2
1763	TUTT t6	III_34_0042	Hattingen, Hattingen	8.78447, 47.92082	amoase	a m o a s e	ämoaße	ä m o a ß e	2
1764	KST t7	III_20_0036, III_20_0037, III_20_0038, III_20_0039, III_20_0035	Flehingen , Flehingen	8.78694, 49.0869	omais	o m a i s	omaise	o m a i s e	1
1765	KST t7	III_20_0036, III_20_0037, III_20_0038, III_20_0039, III_20_0035	Flehingen , Flehingen	8.78694, 49.0869	omais	o m a i s	umeise	u m ei s e	3
1766	KST t7	III_20_0036, III_20_0037, III_20_0038, III_20_0039, III_20_0035	Flehingen , Flehingen	8.78694, 49.0869	omais	o m a i s	ameise	a m ei s e	3
1767	KST t7	III_20_0036, III_20_0037, III_20_0038, III_20_0039, III_20_0035	Flehingen , Flehingen	8.78694, 49.0869	omais	o m a i s	omeise	o m ei s e	2
1768	KST e5	III_18_0033, III_18_0034	Meckesheim, Meckesheim	8.81557, 49.32167	emenze	e m e n z e	emetze	e m e tz e	1
1769	KST n11	III_19_0042, III_19_0043, III_19_0041	Elsenz, Elsenz	8.83766, 49.17408	elmese	e l m e s e	elmeese	e l m ee s e	1
1770	KST u5	III_20_0163, III_20_0045, III_20_0044, III_20_0042, III_20_0043	Sulzfeld, Sulzfeld	8.85671, 49.10336	omaisa	o m a i s a	amaise	a m a i s e	2
1771	KST u5	III_20_0163, III_20_0045, III_20_0044, III_20_0042, III_20_0043	Sulzfeld, Sulzfeld	8.85671, 49.10336	omaisa	o m a i s a	omeise	o m ei s e	2
1772	MH K1	II_59_0085	Brombach (bei Hirschhorn), Brombach	8.8675, 49.48863	äimetzä	ä i m e tz ä	emetze	e m e tz e	3
1773	MH K1	II_59_0085	Brombach (bei Hirschhorn), Brombach	8.8675, 49.48863	äimetzä	ä i m e tz ä	eimetze	ei m e tz e	2
1774	KST f1	III_18_0041, III_18_0037, III_18_0039, III_18_0040, III_18_0038	Eschelbronn, Eschelbronn	8.86825, 49.3202	elmese	e l m e s e	elmeese	e l m ee s e	1
1775	KST f1	III_18_0041, III_18_0037, III_18_0039, III_18_0040, III_18_0038	Eschelbronn, Eschelbronn	8.86825, 49.3202	elmese	e l m e s e	elmeser	e l m e s e r	1
1776	KST f1	III_18_0041, III_18_0037, III_18_0039, III_18_0040, III_18_0038	Eschelbronn, Eschelbronn	8.86825, 49.3202	elmese	e l m e s e	elmesä	e l m e s ä	1
1777	KST f8	III_18_0047, III_18_0046	Sinsheim, Sinsheim	8.87357, 49.25387	emetze	e m e tz e	elemese	e l e m e s e	4
1778	KST f8	III_18_0047, III_18_0046	Sinsheim, Sinsheim	8.87357, 49.25387	emetze	e m e tz e	elemeese	e l e m ee s e	4
1779	KST f8	III_18_0047, III_18_0046	Sinsheim, Sinsheim	8.87357, 49.25387	ameise	a m ei s e	elemese	e l e m e s e	4
1780	KST f8	III_18_0047, III_18_0046	Sinsheim, Sinsheim	8.87357, 49.25387	ameise	a m ei s e	elemeese	e l e m ee s e	4
1781	KST f10	III_18_0043, III_18_0044	Daisbach, Daisbach	8.87705, 49.2938	emenzer	e m e n z e r	elmeser	e l m e s e r	3
