	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1438	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	fledamüs	f l e d a m ü s	3
1439	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	fledermüs	f l e d e r m ü s	3
1440	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	flattermüs	f l a tt e r m ü s	5
1441	Stra o 11	III_9_0065, III_9_0060, III_9_0059, III_9_0057, III_9_0066, III_9_0071, III_9_0062, III_9_0072, III_9_0070, III_9_0074, III_9_0069, III_9_0067, III_9_0068, III_9_0061, III_9_0058, III_9_0064	Straßburg, Straßburg	7.73609, 48.58523	flädrmǖs	f l ä d r m ǖ s	flädermüs	f l ä d e r m ü s	2
1442	Stra R 11	III_11_0111, III_11_0110	Kappel a. Rh., Kappel a. Rh., Grafenhausen	7.74182, 48.29235	flädrmüs	f l ä d r m ü s	fladermus	f l a d e r m u s	3
1443	Stra R 11	III_11_0111, III_11_0110	Kappel a. Rh., Kappel a. Rh., Grafenhausen	7.74182, 48.29235	flädrmüs	f l ä d r m ü s	flahdermüß	f l a h d e r m ü ß	4
1444	Stra Y 8	III_12_0038, III_12_0039, III_12_0037	Herbolzheim a. d. Bleich, Herbolzheim	7.77743, 48.22249	fläderemüs	f l ä d e r e m ü s	flädermüs	f l ä d e r m ü s	1
1445	Stra Y 8	III_12_0038, III_12_0039, III_12_0037	Herbolzheim a. d. Bleich, Herbolzheim	7.77743, 48.22249	fläderemüs	f l ä d e r e m ü s	flädrmüs	f l ä d r m ü s	2
1446	Hag X 4	III_7_0083, III_7_0084	Hagenau, Hagenau	7.78868, 48.81435	fleddermüs	f l e dd e r m ü s	fläddermüß	f l ä dd e r m ü ß	2
1447	Hag X 4	III_7_0083, III_7_0084	Hagenau, Hagenau	7.78868, 48.81435	fleddermüs	f l e dd e r m ü s	fledermüs	f l e d e r m ü s	1
