lfd	Fragebogen	Ort	GID	LONG	LAT	org	item	phontype	lextype	belegnr.	erhebung	korrektur
na	III_12_0017	Baldenheim	34681	7.53925	48.23746	Gagummer	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0018	Mussig	25931	7.52018	48.23003	Gagummer (w)	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0019	Bösenbiesen	27861	7.56377	48.22957	Gagummere	gagummere	gagummere	Gugummer	1	DWA	na
na	III_12_0020	Schwobsheim	23990	7.57481	48.2329	Gōgümmere (w)	gōgümmere	gagummere	Gugummer	1	DWA	ok
na	III_12_0021	Richtolsheim	30962	7.59489	48.2251	Gagummer (w)	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0022	Saasenheim	31560	7.61664	48.23405	Cornichon (w)	cornichon	gornischon	Cornichon	1	DWA	na
na	III_12_0023	Schönau	31024	7.64715	48.22339	Gogummre	gogummre	gagummere	Gugummer	1	DWA	na
na	III_12_0024	Artolsheim	25205	7.57377	48.20951	Gagummer (d')	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0025	Hessenheim	27745	7.55134	48.21037	Gågummer	gågummer	gagummer	Gugummer	1	DWA	na
na	III_12_0026	Heidolsheim	30377	7.51527	48.20131	Gugummer	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0027	Ohnenheim	29222	7.50726	48.18379	Gagummer (eine, w), (franz:) Concombre	concombre	concombre	Concombre	2	DWA	na
na	III_12_0027	Ohnenheim	29222	7.50726	48.18379	Gagummer (eine, w), (franz:) Concombre	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0028	Mackenheim	34134	7.56598	48.18437	Gaggummer (w)	gaggummer	gagummer	Gugummer	1	DWA	na
na	III_12_0029	Boozheim	32955	7.57052	48.18862	Gaggummer (w)	gaggummer	gagummer	Gugummer	1	DWA	na
na	III_12_0030	Wyhl	128579	7.64933	48.1663	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0031	Wyhl	128579	7.64933	48.1663	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0032	Wyhl	128579	7.64933	48.1663	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
