	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
768	TUTT M13	III_15_0128	Dietlingen, Dietlingen	8.24371, 47.67342	plume	p l u m e	pfluume	p f l uu m e	2
769	TUTT q2	III_13_0157	Schollach, Schollach	8.24463, 47.98628	pflumme	p f l u mm e	pflume	p f l u m e	1
770	TÜB M2	III_11_0148	Langenbach, Langenbach	8.25164, 48.3205	pflūme	p f l ū m e	pflume	p f l u m e	1
771	TUTT i3	III_13_0089	Urach, Urach	8.25368, 48.00477	pflume	p f l u m e	pflumme	p f l u mm e	1
772	KST T1	III_7_0128	Kuppenheim, Kuppenheim	8.25452, 48.82818	pflumme	p f l u mm e	pflumm	p f l u mm	1
773	KST E6	III_5_0139	Würmersheim, Würmersheim	8.25452, 48.94056	pfrume	p f r u m e	pflumm	p f l u mm	2
774	TUTT q7	III_14_0075	Friedenweiler, Friedenweiler	8.25483, 47.91602	pflumme	p f l u mm e	pflume	p f l u m e	1
775	TUTT b5	III_12_0154, III_12_0152, III_12_0153	Nussbach, Nussbach	8.25836, 48.13097	pflomme	p f l o mm e	pflome	p f l o m e	1
776	TUTT x5	III_14_0076	Holzschlag, Holzschlag	8.26456, 47.84976	pflume	p f l u m e	pfluma	p f l u m a	1
777	TÜB T3	III_12_0070, III_12_0071	Schwanenbach (Reichenbach), Schwanenbach	8.26562, 48.1922	pflomm	p f l o mm	pflumme	p f l u mm e	2
778	TÜB i1	III_9_0104	Herrenwies, Herrenwies	8.26593, 48.65907	pfumme	p f u mm e	pflumme	p f l u mm e	1
779	TUTT M5	III_14_0179	Mettenberg, Mettenberg	8.26708, 47.75087	pflume	p f l u m e	pfluume	p f l uu m e	1
780	TUTT q4	III_13_0160	Eisenbach, Eisenbach	8.26837, 47.96084	pfluma	p f l u m a	pflume	p f l u m e	1
781	KST E5	III_5_0133, III_5_0132	Durmersheim, Durmersheim	8.2685, 48.93129	pfrumm	p f r u mm	pfrumme	p f r u mm e	1
782	KST T7	III_7_0132	Ebersteinburg, Ebersteinburg	8.26889, 48.77997	pflumme	p f l u mm e	pflumm	p f l u mm	1
783	TÜB M9	III_11_0151	Halbmeil, Halbmeil	8.27063, 48.29042	pflumen	p f l u m e n	pflume	p f l u m e	1
784	TÜB i2	III_9_0105	Forbach-Hundsbach, Forbach-Hundsbach	8.27064, 48.62026	pflumme	p f l u mm e	pflumm	p f l u mm	1
785	KST M4	III_6_0105, III_6_0104	Muggensturm, Muggenturm	8.2763, 48.87021	pflūm	p f l ū m	pfluum	p f l uu m	2
786	TUTT T9	III_16_0155	Tiengen, Thiengen	8.28181, 47.63443	pflume̠	p f l u m e ̠	pflume	p f l u m e	1
787	TUTT M7	III_15_0115	Hürrlingen, Hürrlingen	8.28505, 47.72465	pflume	p f l u m e	pflumme	p f l u mm e	1
788	TÜB E3	III_11_0081	Schapbach, Schapbach	8.28904, 48.37778	pflume	p f l u m e	pflum	p f l u m	1
789	TUTT M8	III_15_0116	Riedern im Wald, Riedern	8.29113, 47.71786	pflume	p f l u m e	pflumme	p f l u mm e	1
790	TÜB M1	III_11_0149	Sankt Roman, St. Roman	8.2924, 48.33187	pflumm	p f l u mm	pflume	p f l u m e	1
791	TUTT T12	III_16_0164	Unterlauchringen, Unterlauchringen	8.30394, 47.63095	pflume	p f l u m e	pflumme	p f l u mm e	1
792	TUTT M10	III_15_0119	Krenkingen, Krenkingen	8.30454, 47.68312	pflūme	p f l ū m e	pflume	p f l u m e	1
793	TUTT T16	III_16_0166	Rheinheim, Rheinheim	8.30495, 47.58771	pfluume	p f l uu m e	pflume	p f l u m e	1
794	TUTT i2	III_13_0087, III_13_0084, III_13_0086	Vöhrenbach, Vöhrenbach	8.30495, 48.04519	pflum	p f l u m	plumme	p l u mm e	3
795	TÜB M10	III_11_0153, III_11_0152	Lehengericht, Vorderlehengericht, Hinterlehengericht	8.30807, 48.2924	pflumme	p f l u mm e	pflume	p f l u m e	1
796	KST T6	III_7_0133	Staufenberg, Staufenberg	8.3082, 48.76673	pflumme	p f l u mm e	pflaume	p f l a u m e	2
