Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Erkartsweiler (Erckartswiller)	7.3596	48.87532	1	-0.2786691101280208	0.04784936370211917
Sparsbach	7.41533	48.87754	4	1.5853246095405167	-0.3267929514333016
Weinburg (Weinbourg)	7.44029	48.87157	1	-0.2786691101280208	0.060038433194660235
Ingweiler (Ingwiller)	7.48031	48.87322	4	1.5853246095405167	-0.3854214622574469
Menchhofen (Menchhoffen)	7.49498	48.85955	3	0.9639933696510041	-0.14888249983998403
Uttweiler (Uttwiller)	7.48667	48.84591	3	0.9639933696510041	-0.17898464711152814
Niedersulzbach (Niedersoultzbach)	7.4662	48.84923	0	-0.9000003500175333	0.15371699152039991
Obersulzbach (Obersoultzbach)	7.45013	48.85174	0	-0.9000003500175333	0.21925803637030106
Weitersweiler (Weiterswiller)	7.41341	48.85298	2	0.3426621297614917	-0.08209151305752789
Zinsweiler	7.59018	48.9196	1	-0.2786691101280208	0.04801167666994094
Offweiler	7.54296	48.91021	1	-0.2786691101280208	0.06441531919076679
Rotbach	7.52883	48.90568	0	-0.9000003500175333	0.12648042917996147
Bischholz	7.53995	48.89301	1	-0.2786691101280208	0.059885125573966594
Mühlhausen	7.5527	48.88226	4	1.5853246095405167	-0.2911732679738795
Uhrweiler (Uhrwiller)	7.57892	48.8784	0	-0.9000003500175333	0.0037956551488140433
Engweiler	7.61501	48.88508	0	-0.9000003500175333	0.1884969630508036
Gumbrechtshofen	7.6319	48.90544	2	0.3426621297614917	-0.08957906885268206
Gundershofen	7.6592	48.90652	1	-0.2786691101280208	0.038741707468019866
Mietesheim	7.63837	48.87814	0	-0.9000003500175333	0.1582439244415768
Bitschhofen	7.61913	48.85878	2	0.3426621297614917	-0.09343900828643496
Überach (Uberach)	7.62806	48.84844	0	-0.9000003500175333	0.1830067807419514
Pfaffenhofen, Pfaffenhofen -Volksberg	7.60881	48.84422	1	-0.2786691101280208	0.06831936914634748
Kindweiler	7.59731	48.86227	1	-0.2786691101280208	0.051208997478101835
Zutzendorf	7.54972	48.85428	1	-0.2786691101280208	0.05663900269031046
Eberbach 	7.71711	48.91154	1	-0.2786691101280208	0.02718485939885278
Forstheim	7.71468	48.89506	0	-0.9000003500175333	-0.02162891191614578
Morsbronn (Morsbronn-Les-Bains)	7.74283	48.90037	2	0.3426621297614917	0.016509886553800736
Hagenheim (Hegeney)	7.74557	48.89153	5	2.2066558494300295	-0.10644411609282377
Dürrenbach (Durrenbach)	7.76797	48.89675	3	0.9639933696510041	0.04714748336190619
Biblisheim	7.79196	48.89991	0	-0.9000003500175333	-0.07422867229155965
Walburg (Walbourg)	7.78939	48.88652	1	-0.2786691101280208	0.004936298692364788
Eschbach	7.73641	48.87453	0	-0.9000003500175333	0.018123558302136276
Laubach	7.72032	48.88168	2	0.3426621297614917	-0.004997362823327642
Merzweiler (Mertzwiller)	7.67936	48.86259	0	-0.9000003500175333	-0.024841408011294183
Griesbach	7.67856	48.89026	0	-0.9000003500175333	0.01421058869074918
