Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Stetten a.k.M. (am kalten Markt)	9.07816	48.12086	0	-0.6063015950399561	0.07140102357525183
St. Märgen, St. Märgen-Schweighöfe	8.09239	48.00756	1	-0.13605710141810876	0.011624896079094092
Wildgutach	8.11606	48.0323	0	-0.6063015950399561	0.09311094718082853
Gütenbach	8.13807	48.04398	2	0.3341873922037386	-0.056138325980361746
Obersimonswald	8.09331	48.0797	1	-0.13605710141810876	0.018610184285394224
Rohrbach	8.25784	48.07437	3	0.8044318858255859	-0.08869403007341996
Vöhrenbach	8.30495	48.04519	1	-0.13605710141810876	0.00601236122547483
Urach	8.25368	48.00477	1	-0.13605710141810876	0.013632613842928732
Linach	8.26602	48.02831	1	-0.13605710141810876	0.005133164397440461
Neukirch	8.17383	48.02447	2	0.3341873922037386	-0.08135380386305352
Furtwangen (und Furtwangen-Katzensteig)	8.20648	48.05227	0	-0.6063015950399561	0.07050276967277727
Schönenbach	8.23618	48.04705	2	0.3341873922037386	-0.021100588602836284
Vilingen	8.45901	48.0567	0	-0.6063015950399561	-0.13906380617909517
Rietheim	8.45381	48.02981	1	-0.13605710141810876	-0.020122149960808643
Marbach	8.47117	48.03143	3	0.8044318858255859	0.15198541626999923
Kirchdorf	8.4704	48.01378	0	-0.6063015950399561	-0.13719370773070103
Klengen	8.46686	48.00388	2	0.3341873922037386	0.062372955574900635
Tannheim	8.41033	47.99946	1	-0.13605710141810876	-0.028596059508378693
Pfaffenweiler	8.41798	48.03273	2	0.3341873922037386	0.0822445758432614
Herzogenweiler	8.37157	48.0254	2	0.3341873922037386	0.0844538924546175
Unterkirnach	8.36628	48.07845	0	-0.6063015950399561	-0.21624426427584947
Bad Dürrheim	8.53214	48.01807	1	-0.13605710141810876	-0.018196857195515045
Buchheim	8.98672	48.011	1	-0.13605710141810876	-0.008725698290488679
Leibertingen	9.01551	48.04265	0	-0.6063015950399561	0.17110284118284252
Kreenheinstetten	9.05221	48.0555	0	-0.6063015950399561	0.20258687485692162
Langenhart	9.10404	48.04793	0	-0.6063015950399561	0.05006186661823613
Engelswies	9.12846	48.04259	2	0.3341873922037386	-0.046099824212532343
Rohrdorf	9.10207	48.01811	1	-0.13605710141810876	-0.007077523183484263
Menningen	9.15825	48.01089	2	0.3341873922037386	0.0766487859368603
Wagensteig	8.04607	47.98466	1	-0.13605710141810876	0.008436307424340294
Unteribental	8.00642	47.97982	0	-0.6063015950399561	-0.023110357163588623
Buchenbach	8.00773	47.96134	3	0.8044318858255859	-0.07712218564143357
Falkensteig	7.99689	47.94697	2	0.3341873922037386	-0.013575692837134107
Breitnau	8.07603	47.94014	0	-0.6063015950399561	0.011163754340824901
Schollach	8.24463	47.98628	0	-0.6063015950399561	0.023697861824897165
Hammereisenbach	8.31732	47.99481	2	0.3341873922037386	-0.044165767472880195
Eisenbach	8.26837	47.96084	0	-0.6063015950399561	0.13453292649503865
Bubenbach	8.29595	47.96531	2	0.3341873922037386	-0.09232982194702627
Friedenweiler	8.25483	47.91602	1	-0.13605710141810876	0.024861740170365295
Rudenberg	8.23807	47.9196	0	-0.6063015950399561	0.08636754462781684
Grüningen	8.47107	47.98253	10	4.096143341178517	0.37026933961855907
Wolterdingen	8.42701	47.96861	2	0.3341873922037386	0.10637893738930479
Hubertshofen	8.38827	47.96002	2	0.3341873922037386	0.1002150066401168
Unterbränd	8.35693	47.93373	1	-0.13605710141810876	-0.01909183227939369
Bräunlingen	8.44765	47.9301	0	-0.6063015950399561	-0.29858671313017915
Hüfingen	8.48886	47.92431	1	-0.13605710141810876	-0.07152283584998666
