Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Langenwinkel	7.82557	48.3325	4	1.1320148240133063	1.0990326268242987
Niederschopfheim	7.891	48.41717	7	2.5801310279252037	1.298881143260801
Oberschopfheim	7.90095	48.39821	6	2.097425626621238	0.8441196872549499
Diersburg	7.93733	48.40041	3	0.6493094227093406	0.017779443561415607
Berghaupten	7.98716	48.40675	0	-0.7988067812025565	-0.12529353235439203
Bermersbach	7.99239	48.38717	1	-0.31610137989859083	0.008199444222011755
Oberweier	7.89815	48.37746	8	3.0628364292291694	2.1421483551873344
Friesenheim	7.87515	48.37378	0	-0.7988067812025565	-0.7335255530679596
Schutterzell	7.84148	48.4057	2	0.16660402140537486	0.1284447340051636
Hugsweier	7.83742	48.36009	0	-0.7988067812025565	-0.8050258353385875
Dinglingen	7.85875	48.34966	3	0.6493094227093406	0.5862576805466537
Lahr (Lahr/Schwarzwald)	7.87603	48.34018	1	-0.31610137989859083	-0.26643551661249043
Kuhbach, Kuhbach	7.90787	48.33884	2	0.16660402140537486	0.10076727681684312
Neukirch (Neuve-Église)	7.31338	48.32872	0	-0.7988067812025565	0.21185432866382506
Diefenbach (Dieffenbach-Au-Val)	7.32766	48.31529	0	-0.7988067812025565	0.27305563368596997
Wanzel (La Vancelle)	7.30201	48.28406	0	-0.7988067812025565	0.2680388444769684
Leberau (Lièpvre), klein Leberau (Lièpvre)	7.28169	48.2709	0	-0.7988067812025565	0.2317115826371787
St Moritz (Saint-Maurice)	7.33562	48.32669	0	-0.7988067812025565	0.2588062004066084
St Petersholz (Saint Pierre Bois)	7.36093	48.3272	0	-0.7988067812025565	0.3482778971518015
Dambach (Dambach-La-Ville)	7.42838	48.32103	0	-0.7988067812025565	0.2749894108484282
Diefental (Dieffenthal)	7.4217	48.30979	4	1.1320148240133063	-0.478253220383532
Scherweiler (Scherwiller)	7.4198	48.28734	0	-0.7988067812025565	0.3160364079561623
Kestenholz (Châtenois)	7.39919	48.27183	0	-0.7988067812025565	0.3747011078857057
Kinzheim (Kintzheim)	7.39476	48.25441	3	0.6493094227093406	-0.34483082322958325
Schlettstadt (Sélestat), Schlettstadt (Sélestat), Schlettstadt (Sélestat)	7.45232	48.2578	0	-0.7988067812025565	0.24925747218944158
Ebersheim	7.50132	48.30759	1	-0.31610137989859083	0.09443032746447634
Ebersmünster (Ebersmunster)	7.52112	48.31139	2	0.16660402140537486	-0.048314525422286814
Witternheim	7.61297	48.31375	1	-0.31610137989859083	0.07299903956709154
Diebolsheim	7.66174	48.29015	0	-0.7988067812025565	-0.23221516443747947
Bindernheim, Bindernheim	7.60713	48.28366	0	-0.7988067812025565	0.20167385421885356
Hilsenheim	7.56768	48.29055	3	0.6493094227093406	-0.22026547406314873
Müttersholz (Muttersholtz)	7.53321	48.2674	0	-0.7988067812025565	0.19975847952837056
Wittisheim	7.58962	48.26345	4	1.1320148240133063	-0.3130587390086944
Sundhausen (Sundhouse), Sundhausen (Sundhouse)	7.60327	48.25126	1	-0.31610137989859083	0.04905213288882461
Boofzheim	7.68036	48.33214	3	0.6493094227093406	0.17781448636553987
Friesenheim	7.67044	48.30971	2	0.16660402140537486	0.030783430796701594
Rheinau (Rhinau)	7.70498	48.3175	0	-0.7988067812025565	-0.271899052443085
Kippenheim	7.82466	48.29439	2	0.16660402140537486	0.12011614720505767
Kippenheimweiler	7.80753	48.31925	4	1.1320148240133063	0.9452137227024409
Mahlberg	7.81323	48.28708	2	0.16660402140537486	0.09627320242256229
Orschweier	7.79862	48.27835	8	3.0628364292291694	1.4078406897432387
Altdorf	7.81401	48.26606	0	-0.7988067812025565	-0.3285263815902988
Ettenheim	7.81361	48.25631	0	-0.7988067812025565	-0.43068003102191255
Kappel a. Rh.	7.74182	48.29235	4	1.1320148240133063	0.5575380651810189
Rust	7.72571	48.26873	7	2.5801310279252037	0.33577868005796163
Mietersheim	7.83797	48.32639	6	2.097425626621238	1.6405182998924965
Sulz, Sulz	7.86031	48.31851	0	-0.7988067812025565	-0.6395497308336839
Reichenbach (Gengb.)	7.9231	48.33196	9	3.5455418305331348	1.1715748171624665
Schönberg	8.0327	48.36461	0	-0.7988067812025565	0.2581905709421407
Seelbach	7.94104	48.30987	3	0.6493094227093406	0.2069149554779348
Wittelbach	7.95069	48.29243	9	3.5455418305331348	0.4719047233458327
Schuttertal	7.95562	48.27087	1	-0.31610137989859083	-0.14952547245390277
Schmieheim	7.85658	48.27938	4	1.1320148240133063	0.7300759732988996
Wallburg	7.85339	48.26704	2	0.16660402140537486	0.09378569007713428
Markich (Sainte-Marie-Aux-Marines), Markich (Sainte-Marie-Aux-Marines), Markich (Sainte-Marie-Aux-Marines)	7.17972	48.24483	0	-0.7988067812025565	-0.0
Glashütte, Tannenkirch (Thannenkirch)	7.30397	48.22949	0	-0.7988067812025565	0.2755074383970984
