Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Weitbruch	7.77586	48.7535	0	-0.7832733848769967	0.2700656486089297
Bernolsheim	7.69085	48.75532	0	-0.7832733848769967	0.3259264324766496
Hochstett	7.67779	48.77853	1	-0.10204971481737883	0.04070190890086048
Batzendorf	7.70638	48.78331	0	-0.7832733848769967	0.24384017101928374
Wintershausen	7.70271	48.79349	0	-0.7832733848769967	0.29785161220337253
Sufflenheim	7.95924	48.82979	0	-0.7832733848769967	0.03903500594822019
Schirrhofen	7.9193	48.8066	0	-0.7832733848769967	0.15265163182344263
Schirrhein	7.90562	48.80154	2	0.579173955242239	-0.10874668521109523
Kaltenhausen	7.83521	48.79041	0	-0.7832733848769967	0.12166690934818632
Oberhofen (Oberhoffen-Sur-Moder)	7.86327	48.78298	2	0.579173955242239	-0.1266178584892465
Bischweiler	7.85912	48.76826	0	-0.7832733848769967	0.1287519689358247
Rohrwiller	7.90543	48.75592	4	1.9416212953614747	-0.6378881946382268
Falhünden (Dalhünden)	7.98835	48.77367	1	-0.10204971481737883	0.003884132707497051
Silzheim (Siltzheim)	7.09071	49.0616	3	1.260397625301857	-0.15622695093551855
Herbitzheim	7.08355	49.01459	1	-0.10204971481737883	-0.023172920597713573
Kaysersberg	7.2617	48.13853	0	-0.7832733848769967	0.05555502646803133
Bebelnheim (Beblenheim)	7.32264	48.15802	2	0.579173955242239	0.009145916609490283
Türkheim (Turckheim)	7.27884	48.0862	1	-0.10204971481737883	0.00558595221486911
Katzenthal	7.28497	48.10796	0	-0.7832733848769967	-0.00318234910680853
Niedermorschweiher	7.27596	48.09972	0	-0.7832733848769967	0.011235710421948233
Kientzheim	7.28695	48.13649	0	-0.7832733848769967	-0.12110149150296466
Bennweier	7.32417	48.14496	0	-0.7832733848769967	-0.015262218879207336
Sigolsheim	7.3035	48.13267	0	-0.7832733848769967	-0.052420092262169864
Ingersheim	7.30725	48.0936	0	-0.7832733848769967	0.08309487954620587
Ammerschweier	7.28484	48.12465	7	3.9852923055403284	-0.1856239335241165
Mittelweier	7.32094	48.14982	0	-0.7832733848769967	-0.011952787398925717
Ostheim	7.37011	48.1551	0	-0.7832733848769967	0.01780349826661161
Munzenheim (Muntzenheim), Munzenheim (Muntzenheim)	7.47318	48.10199	0	-0.7832733848769967	0.04927959370899464
Bischweier	7.43735	48.09944	0	-0.7832733848769967	0.11190463760808053
Holzweier	7.42541	48.11028	1	-0.10204971481737883	0.016379084328691916
Riedweier	7.44536	48.12387	0	-0.7832733848769967	0.01706772189677929
Wickerschweier	7.43868	48.10708	0	-0.7832733848769967	0.1405674517678177
Jebsheim	7.47771	48.12279	3	1.260397625301857	-0.24309055708003327
Hausen bei Kolmar (Houssen)	7.37665	48.125	1	-0.10204971481737883	-0.0004767261902361313
Elsenheim	7.50131	48.16133	1	-0.10204971481737883	0.004344874114240366
