	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
383	TUTT v1	III_34_0054	Altheim, Altheim	9.03387, 47.99511	schärmeus	sch ä r m e u s	schärmaus	sch ä r m a u s	1
384	TUTT g1	III_32_0042	Glashütte (Heuberg), Glashütte	9.03485, 48.1237	schearmaus	sch e a r m a u s	schermaus	sch e r m a u s	1
385	TUTT C2/2, TUTT C2/1	III_35_0052	Zoznegg, Zoznegg	9.04053, 47.89958	schärmūs	sch ä r m ū s	scheermus	sch ee r m u s	3
386	TUTT C5	III_35_0055	Winterspüren, Winterspüren	9.05857, 47.85618	schermūs	sch e r m ū s	scheermus	sch ee r m u s	2
387	TUTT K4	III_36_0059	Ludwigshafen, Ludwigshafen	9.05916, 47.8189	schǟrmūs	sch ǟ r m ū s	scherrmuus	sch e rr m u u s	4
388	TUTT R6	III_37_0040	Reichenau, Reichenau	9.06125, 47.69789	schärmus	sch ä r m u s	schermus	sch e r m u s	1
389	TUTT R4	III_37_0034, III_37_0035, III_37_0033, III_37_0032	Allensbach, Allensbach	9.06699, 47.71535	scherrmus	sch e rr m u s	schermus	sch e r m u s	1
390	TUTT g2	III_32_0043	Stetten a,k,M, (am kalten Markt), Stetten	9.07816, 48.12086	schermaus	sch e r m a u s	schärmaus	sch ä r m a u s	1
391	TUTT K3	III_36_0066	Bonndorf, Bonndorf	9.09477, 47.82968	scharmus	sch a r m u s	scherrmus	sch e rr m u s	2
392	TUTT K11	III_36_0061, III_36_0063, III_36_0062, III_36_0064	Sipplingen, Sipplingen	9.09665, 47.79525	scherrmūs	sch e rr m ū s	schermus	sch e r m u s	2
393	TUTT 05	III_33_0045	Langenhart, Langenhart	9.10404, 48.04793	scheermaus	sch ee r m a u s	schermaus	sch e r m a u s	1
394	TUTT v10	III_34_0058, III_34_0057	Messkirch, Messkirch	9.11537, 47.99484	schärmous	sch ä r m o u s	schermous	sch e r m o u s	1
395	TUTT R1	III_37_0036	Dettingen, Dettingen	9.117, 47.73485	schermus	sch e r m u s	schärrmus	sch ä rr m u s	2
396	TUTT K2	III_36_0065	Nesselwangen, Nesselwangen	9.11824, 47.81683	schärmūūs	sch ä r m ūū s	scherrmus	sch e rr m u s	4
397	TUTT K9	III_36_0071	Überlingen, Überlingen	9.1592, 47.76732	šȩrmuus	š ȩ r m uu s	scherrmus	sch e rr m u s	6
398	SIG q7	III_36_0074	Deisendorf, Deisendorf	9.21621, 47.76835	scherrmuus	sch e rr m u u s	scherrmaus	sch e rr m a u s	1
399	SIG g2/2, SIG g2/1	III_34_0065, III_34_0063, III_34_0064	Pfullendorf, Pfullendorf	9.25466, 47.92614	schärrmaus	sch ä rr m a u s	schärmaus	sch ä r m a u s	1
400	SIG k5	III_35_0075	Hattenweiler, Hattenweiler	9.27568, 47.85957	schärmaus	sch ä r m a u s	scherrmaus	sch e rr m a u s	2
401	SIG n12	III_36_0081	Salem, Salem	9.28599, 47.77663	schärrmus	sch ä rr m u s	schermus	sch e r m u s	2
402	SIG q4	III_37_0043	Buggensegel, Buggensegel	9.29936, 47.74645	scherrmus	sch e rr m u s	schermus	sch e r m u s	1
403	SIG n5	III_36_0072	Heiligenberg, Heiligenberg	9.31203, 47.81993	scherrmuus	sch e rr m u u s	scheermuus	sch ee r m u u s	1
404	SIG q6	III_37_0045	Ahausen, Ahausen	9.32247, 47.72502	schärrmus	sch ä rr m u s	schärmuus	sch ä r m uu s	2
405	SIG r1	III_36_0092	Mittelstenweiler, Mittelstenweiler	9.33753, 47.75241	schermus	sch e r m u s	schermuus	sch e r m uu s	1
406	SIG r2	III_37_0050	Bermatingen, Bermatingen	9.34868, 47.73084	scherrmūs	sch e rr m ū s	scherrmus	sch e rr m u s	1
407	SIG u1	III_38_0026	Immenstaad, Immenstaad	9.3675, 47.66625	schermus	sch e r m u s	schärmus	sch ä r m u s	1
408	SIG r3	III_37_0052, III_37_0054	Markdorf, Markdorf	9.38933, 47.72088	scherrmus	sch e rr m u s	schermis	sch e r m i s	2
409	SIG r5	III_37_0056	Kluftern, Kluftern	9.40004, 47.69278	schermūs	sch e r m ū s	schermûs	sch e r m û s	1
410	SIG r4	III_37_0057	Riedheim, Riedheim	9.41014, 47.70429	schērmus	sch ē r m u s	schermus	sch e r m u s	1
411	SIG o6	III_36_0096	Urnau, Urnau	9.43083, 47.76354	schermus	sch e r m u s	schärmūs	sch ä r m ū s	2
412	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	scharmus	sch a r m u s	scharmüs	sch a r m ü s	1
413	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	scharmūss	sch a r m ū ss	schearmües	sch e a r m ü e s	3
414	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	schārrmǖs	sch ā rr m ǖ s	schearmües	sch e a r m ü e s	4
415	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	scharmǟs	sch a r m ǟ s	scharmus	sch a r m u s	1
416	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	scharmǟs	sch a r m ǟ s	scharmaus	sch a r m a u s	2
417	Co U 7/1, Co U 7/2	III_16_0029	Altkirch, Altkirch	7.24009, 47.62592	schārmüs	sch ā r m ü s	schaarmühs	sch aa r m ü h s	3
418	Co U 7/1, Co U 7/2	III_16_0029	Altkirch, Altkirch	7.24009, 47.62592	scharmüs	sch a r m ü s	schaarmühs	sch aa r m ü h s	2
419	Co N8/1, Co N8/2	III_15_0015	Illfurt (Illfurth), Illfurt	7.26494, 47.67073	schārmüs	sch ā r m ü s	scharmüs	sch a r m ü s	1
